movie_name,conversation_id,utterance_id,speaker_id,speaker_name,listener_id,listener_name,current_turn,current_text,context_text,relationship_type,graph_summary,translation_context_only,translation_model_context_only,translation_with_graph,translation_model_with_graph
titanic,L614393,L614394,u8460,LOVETT,u8449,BUELL,"LOVETT: Alright. You have my attention, Rose. Can you tell me who the woman in the picture is?","Alright. You have my attention, Rose. Can you tell me who the woman in the picture is?",BUELL: I told you you wanted to take this call.,acquaintance,"Speaker: LOVETT
Listener: BUELL
Relationship: acquaintance
Translation guidance: Use neutral social wording without excessive intimacy.",好吧。你引起了我的注意，罗斯。你能告诉我照片里的那个女人是谁吗？,gpt-5.4-mini,好吧，你引起我的注意了，罗斯。你能告诉我照片里的女人是谁吗？,gpt-5.4-mini
titanic,L614398,L614398,u8447,BODINE,,,"BODINE: She says she's Rose DeWitt Bukater, right? Rose DeWitt Bukater died on the Titanic. At the age of 17. If she'd've lived, she'd be over a hundred now.","She says she's Rose DeWitt Bukater, right? Rose DeWitt Bukater died on the Titanic. At the age of 17. If she'd've lived, she'd be over a hundred now.",,unclear,,她说她是罗斯·德威特·布凯特，对吧？罗斯·德威特·布凯特已经在泰坦尼克号上死了。死时17岁。要是她还活着，现在都一百多岁了。,gpt-5.4-mini,她说她是罗斯·德维特·布克特，对吧？罗斯·德维特·布克特在泰坦尼克号上死了。17岁。如果她还活着，现在都一百多岁了。,gpt-5.4-mini
titanic,L614398,L614399,u8460,LOVETT,u8447,BODINE,LOVETT: A hundred and one next month.,A hundred and one next month.,"BODINE: She says she's Rose DeWitt Bukater, right? Rose DeWitt Bukater died on the Titanic. At the age of 17. If she'd've lived, she'd be over a hundred now.",adversarial,"Speaker: LOVETT
Listener: BODINE
Relationship: adversarial
Translation guidance: Preserve tension, hostility, or confrontational tone.",下个月就一百零一了。,gpt-5.4-mini,下个月就一百零一了。,gpt-5.4-mini
titanic,L614398,L614400,u8447,BODINE,u8460,LOVETT,"BODINE: Okay, so she's a very old goddamned liar. I traced her as far back as the 20's... she was working as an actress in L.A. An actress. Her name was Rose Dawson. Then she married a guy named Calvert, moved to Cedar Rapids, had two kids. Now Calvert's dead, and from what I've heard Cedar Rapids is dead.","Okay, so she's a very old goddamned liar. I traced her as far back as the 20's... she was working as an actress in L.A. An actress. Her name was Rose Dawson. Then she married a guy named Calvert, moved to Cedar Rapids, had two kids. Now Calvert's dead, and from what I've heard Cedar Rapids is dead.","BODINE: She says she's Rose DeWitt Bukater, right? Rose DeWitt Bukater died on the Titanic. At the age of 17. If she'd've lived, she'd be over a hundred now.
LOVETT: A hundred and one next month.",ally,"Speaker: BODINE
Listener: LOVETT
Relationship: ally
Translation guidance: Use neutral wording unless local dialogue strongly suggests otherwise.",好吧，那她就是个老得该死的骗子。我把她的来历一直追溯到二十年代……她当时在洛杉矶当演员。演员。她叫罗斯·道森。后来她嫁给了一个叫卡尔弗特的家伙，搬到了锡达拉皮兹，生了两个孩子。现在卡尔弗特死了，听说锡达拉皮兹也死了。,gpt-5.4-mini,好吧，那她就是个年纪一大把的该死骗子。我把她的踪迹一直查到20年代……她当时在洛杉矶当演员。演员。她叫罗斯·道森。后来她嫁给了一个叫卡尔弗特的家伙，搬到锡达拉皮兹，生了两个孩子。现在卡尔弗特死了，听说锡达拉皮兹也完了。,gpt-5.4-mini
titanic,L614403,L614403,u8460,LOVETT,,,LOVETT: Is your stateroom alright?,Is your stateroom alright?,,unclear,,你的舱房还好吗？,gpt-5.4-mini,你的舱房还好吗？,gpt-5.4-mini
titanic,L614403,L614404,u8462,ROSE,u8460,LOVETT,"ROSE: Yes. Very nice. Have you met my granddaughter, Lizzy? She takes care of me.","Yes. Very nice. Have you met my granddaughter, Lizzy? She takes care of me.",LOVETT: Is your stateroom alright?,acquaintance,"Speaker: ROSE
Listener: LOVETT
Relationship: acquaintance
Translation guidance: Use neutral social wording without excessive intimacy.",是，很不错。你见过我的孙女丽兹吗？她照顾我。,gpt-5.4-mini,嗯，很好。你见过我孙女丽齐吗？她照顾我。,gpt-5.4-mini
titanic,L614407,L614407,u8462,ROSE,,,"ROSE: There, that's nice. I have to have my pictures when I travel. And Freddy of course. Isn't that right, sweetie.","There, that's nice. I have to have my pictures when I travel. And Freddy of course. Isn't that right, sweetie.",,unclear,,好了，这样不错。出门旅行，我得带着我的照片。还有弗雷迪，当然。对吧，亲爱的。,gpt-5.4-mini,好了，这样不错。我旅行时一定要带上我的照片，当然还有弗雷迪。对吧，亲爱的。,gpt-5.4-mini
titanic,L614407,L614408,u8460,LOVETT,u8462,ROSE,LOVETT: Would you like anything?,Would you like anything?,"ROSE: There, that's nice. I have to have my pictures when I travel. And Freddy of course. Isn't that right, sweetie.",adversarial,"Speaker: LOVETT
Listener: ROSE
Relationship: adversarial
Translation guidance: Preserve tension, hostility, or confrontational tone.",您要来点什么吗？,gpt-5.4-mini,你想要点什么吗？,gpt-5.4-mini
titanic,L614407,L614409,u8462,ROSE,u8460,LOVETT,ROSE: I should like to see my drawing.,I should like to see my drawing.,"ROSE: There, that's nice. I have to have my pictures when I travel. And Freddy of course. Isn't that right, sweetie.
LOVETT: Would you like anything?",acquaintance,"Speaker: ROSE
Listener: LOVETT
Relationship: acquaintance
Translation guidance: Use neutral social wording without excessive intimacy.",我想看看我的画。,gpt-5.4-mini,我想看看我的画。,gpt-5.4-mini
titanic,L614410,L614410,u8460,LOVETT,,,"LOVETT: Louis the Sixteenth wore a fabulous stone, called the Blue Diamond of the Crown, which disappeared in 1792, about the time Louis lost everything from the neck up. The theory goes that the crown diamond was chopped too... recut into a heart-like shape... and it became Le Coeur de la Mer. The Heart of the Ocean. Today it would be worth more than the Hope Diamond.","Louis the Sixteenth wore a fabulous stone, called the Blue Diamond of the Crown, which disappeared in 1792, about the time Louis lost everything from the neck up. The theory goes that the crown diamond was chopped too... recut into a heart-like shape... and it became Le Coeur de la Mer. The Heart of the Ocean. Today it would be worth more than the Hope Diamond.",,unclear,,路易十六戴过一块极其珍贵的宝石，叫作王冠蓝钻，1792年失踪了，那时差不多也是路易失去脑袋的时候。理论认为，王冠上的钻石也被切掉了……重新切磨成心形……就变成了“海洋之心”。如今它的价值会超过希望钻石。,gpt-5.4-mini,路易十六戴过一颗极其华丽的宝石，叫“王冠蓝钻”，它在1792年失踪了，大概就在路易从脖子以上的一切都没了的时候。理论认为，那颗王冠钻石也被切开了……重新切成了心形……于是就成了“海洋之心”。“海洋之心”。要是放到今天，它的价值会比希望钻石还高。,gpt-5.4-mini
titanic,L614410,L614411,u8462,ROSE,u8460,LOVETT,"ROSE: It was a dreadful, heavy thing. I only wore it this once.","It was a dreadful, heavy thing. I only wore it this once.","LOVETT: Louis the Sixteenth wore a fabulous stone, called the Blue Diamond of the Crown, which disappeared in 1792, about the time Louis lost everything from the neck up. The theory goes that the crown diamond was chopped too... recut into a heart-like shape... and it became Le Coeur de la Mer. The Heart of the Ocean. Today it would be worth more than the Hope Diamond.",acquaintance,"Speaker: ROSE
Listener: LOVETT
Relationship: acquaintance
Translation guidance: Use neutral social wording without excessive intimacy.",那东西又丑又沉。我只戴过这一次。,gpt-5.4-mini,那东西又丑又沉。我只戴过这一次。,gpt-5.4-mini
titanic,L614414,L614414,u8460,LOVETT,,,"LOVETT: I tracked it down through insurance records... and old claim that was settled under terms of absolute secrecy. Do you know who the claiment was, Rose?","I tracked it down through insurance records... and old claim that was settled under terms of absolute secrecy. Do you know who the claiment was, Rose?",,unclear,,我通过保险记录查到了它……一份以绝对保密条款了结的旧理赔。你知道索赔人是谁吗，罗斯？,gpt-5.4-mini,我通过保险记录查到了……还有一桩旧索赔，按绝对保密条款了结的。你知道索赔人是谁吗，罗斯？,gpt-5.4-mini
titanic,L614414,L614415,u8462,ROSE,u8460,LOVETT,"ROSE: Someone named Hockley, I should imagine.","Someone named Hockley, I should imagine.","LOVETT: I tracked it down through insurance records... and old claim that was settled under terms of absolute secrecy. Do you know who the claiment was, Rose?",acquaintance,"Speaker: ROSE
Listener: LOVETT
Relationship: acquaintance
Translation guidance: Use neutral social wording without excessive intimacy.",我想，大概是个叫霍克利的人。,gpt-5.4-mini,我想应该是一个叫霍克利的人。,gpt-5.4-mini
titanic,L614414,L614416,u8460,LOVETT,u8462,ROSE,"LOVETT: Nathan Hockley, right. Pittsburgh steel tycoon. For a diamond necklace his son Caledon Hockley bought in France for his fiancee... you... a week before he sailed on Titanic. And the claim was filed right after the sinking. So the diamond had to've gone down with the ship. See the date?","Nathan Hockley, right. Pittsburgh steel tycoon. For a diamond necklace his son Caledon Hockley bought in France for his fiancee... you... a week before he sailed on Titanic. And the claim was filed right after the sinking. So the diamond had to've gone down with the ship. See the date?","LOVETT: I tracked it down through insurance records... and old claim that was settled under terms of absolute secrecy. Do you know who the claiment was, Rose?
ROSE: Someone named Hockley, I should imagine.",adversarial,"Speaker: LOVETT
Listener: ROSE
Relationship: adversarial
Translation guidance: Preserve tension, hostility, or confrontational tone.",内森·霍克利，对吧。匹兹堡的钢铁大亨。他儿子卡尔顿·霍克利在法国买了一条钻石项链，送给他的未婚妻……也就是你……在他乘泰坦尼克号起航前一周。索赔是在沉船后立刻提出的。所以那颗钻石一定跟船一起沉了。看见日期了吗？,gpt-5.4-mini,内森·霍克利，没错。匹兹堡钢铁大亨。他儿子卡尔顿·霍克利在法国买了一条钻石项链，送给他的未婚妻……也就是你……就在他乘泰坦尼克号启航前一周。索赔是在沉船之后立刻提出的。所以那颗钻石一定跟船一起沉下去了。看到日期了吗？,gpt-5.4-mini
titanic,L614417,L614417,u8458,LIZZY,,,"LIZZY: April 14, 1912.","April 14, 1912.",,unclear,,1912年4月14日。,gpt-5.4-mini,1912年4月14日。,gpt-5.4-mini
titanic,L614417,L614418,u8460,LOVETT,u8458,LIZZY,"LOVETT: If your grandma is who she says she is, she was wearing the diamond the day Titanic sank. And that makes you my new best friend. I will happily compensate you for anything you can tell us that will lead to its recovery.","If your grandma is who she says she is, she was wearing the diamond the day Titanic sank. And that makes you my new best friend. I will happily compensate you for anything you can tell us that will lead to its recovery.","LIZZY: April 14, 1912.",unclear,"Speaker: LOVETT
Listener: LIZZY
Relationship: unclear
Translation guidance: Use neutral wording unless local dialogue strongly suggests otherwise.",如果你奶奶真是她自称的那个人，那泰坦尼克号沉没那天，她戴着那颗钻石。这样一来，你就是我新的好朋友了。只要你能告诉我们任何有助于找回它的线索，我都很乐意给你报酬。,gpt-5.4-mini,如果你奶奶真是她自称的那个人，那泰坦尼克号沉没那天，她戴着那颗钻石。那你就是我最好的朋友了。只要你能告诉我们任何有助于找回它的线索，我很乐意酬谢你。,gpt-5.4-mini
titanic,L614429,L614429,u8447,BODINE,,,"BODINE: We've put together the world's largest database on the Titanic. Okay, here...","We've put together the world's largest database on the Titanic. Okay, here...",,unclear,,我们已经建立了世界上最大的泰坦尼克号数据库。好了，这里……,gpt-5.4-mini,我们已经整理出了世界上最大的泰坦尼克号数据库。好，给你看……,gpt-5.4-mini
titanic,L614429,L614430,u8460,LOVETT,u8447,BODINE,"LOVETT: Rose might not want to see this, Lewis.","Rose might not want to see this, Lewis.","BODINE: We've put together the world's largest database on the Titanic. Okay, here...",adversarial,"Speaker: LOVETT
Listener: BODINE
Relationship: adversarial
Translation guidance: Preserve tension, hostility, or confrontational tone.",露丝可能不想看这个，刘易斯。,gpt-5.4-mini,露丝也许不想看这个，路易斯。,gpt-5.4-mini
titanic,L614441,L614441,u8462,ROSE,,,ROSE: It's been 84 years...,It's been 84 years...,,unclear,,已经84年了……,gpt-5.4-mini,已经84年了……,gpt-5.4-mini
titanic,L614441,L614442,u8460,LOVETT,u8462,ROSE,LOVETT: Just tell us what you can --,Just tell us what you can --,ROSE: It's been 84 years...,adversarial,"Speaker: LOVETT
Listener: ROSE
Relationship: adversarial
Translation guidance: Preserve tension, hostility, or confrontational tone.",把你知道的都告诉我们——,gpt-5.4-mini,你就告诉我们你知道的——,gpt-5.4-mini
titanic,L614441,L614443,u8462,ROSE,u8460,LOVETT,ROSE: It's been 84 years... and I can still smell the fresh paint. The china had never been used. The sheets had never been slept in.,It's been 84 years... and I can still smell the fresh paint. The china had never been used. The sheets had never been slept in.,"ROSE: It's been 84 years...
LOVETT: Just tell us what you can --",acquaintance,"Speaker: ROSE
Listener: LOVETT
Relationship: acquaintance
Translation guidance: Use neutral social wording without excessive intimacy.",已经84年了……可我还是能闻到那股新漆的味道。瓷器从没用过，床单也从没人睡过。,gpt-5.4-mini,已经84年了……可我还能闻到那股新油漆味。瓷器从没用过，床单从没睡过。,gpt-5.4-mini
titanic,L614447,L614447,u8450,CAL,,,"CAL: Your daughter is much too hard to impress, Ruth. Mind your step.","Your daughter is much too hard to impress, Ruth. Mind your step.",,unclear,,鲁丝，你女儿可真不容易被打动。小心脚下。,gpt-5.4-mini,你的女儿可太难讨她欢心了，露丝。小心脚下。,gpt-5.4-mini
titanic,L614447,L614448,u8463,RUTH,u8450,CAL,RUTH: So this is the ship they say is unsinkable.,So this is the ship they say is unsinkable.,"CAL: Your daughter is much too hard to impress, Ruth. Mind your step.",acquaintance,"Speaker: RUTH
Listener: CAL
Relationship: acquaintance
Translation guidance: Use neutral social wording without excessive intimacy.",所以这就是他们说永不沉没的那艘船。,gpt-5.4-mini,这就是他们说的那艘永不沉没的船。,gpt-5.4-mini
titanic,L614447,L614449,u8450,CAL,u8463,RUTH,CAL: It is unsinkable. God himself couldn't sink this ship.,It is unsinkable. God himself couldn't sink this ship.,"CAL: Your daughter is much too hard to impress, Ruth. Mind your step.
RUTH: So this is the ship they say is unsinkable.",unclear,"Speaker: CAL
Listener: RUTH
Relationship: unclear
Translation guidance: Use neutral wording unless local dialogue strongly suggests otherwise.",它当然不会沉。连上帝都沉不了这艘船。,gpt-5.4-mini,它是不会沉的。连上帝也沉不了这艘船。,gpt-5.4-mini
titanic,L614458,L614458,u8450,CAL,,,CAL: Steerage swine. Apparently missed his annual bath.,Steerage swine. Apparently missed his annual bath.,,unclear,,三等舱的猪。看来是错过了他一年一度的洗澡。,gpt-5.4-mini,舱底的猪。看来他错过了一年一度的洗澡。,gpt-5.4-mini
titanic,L614458,L614459,u8463,RUTH,u8450,CAL,"RUTH: Honestly, Cal, if you weren't forever booking everything at the last instant, we could have gone through the terminal instead of running along the dock like some squalid immigrant family.","Honestly, Cal, if you weren't forever booking everything at the last instant, we could have gone through the terminal instead of running along the dock like some squalid immigrant family.",CAL: Steerage swine. Apparently missed his annual bath.,acquaintance,"Speaker: RUTH
Listener: CAL
Relationship: acquaintance
Translation guidance: Use neutral social wording without excessive intimacy.",说真的，卡尔，要不是你老是把什么事都拖到最后一刻才定，我们本可以走候船厅，而不是像个肮脏的移民家庭一样在码头上一路狂奔。,gpt-5.4-mini,老实说，卡尔，要不是你总是临时才订好一切，我们本可以从候船厅过去，而不是像什么肮脏的移民家庭一样沿着码头跑。,gpt-5.4-mini
titanic,L614458,L614460,u8450,CAL,u8463,RUTH,"CAL: All part of my charm, Ruth. At any rate, it was my darling fiancee's beauty rituals which made us late.","All part of my charm, Ruth. At any rate, it was my darling fiancee's beauty rituals which made us late.","CAL: Steerage swine. Apparently missed his annual bath.
RUTH: Honestly, Cal, if you weren't forever booking everything at the last instant, we could have gone through the terminal instead of running along the dock like some squalid immigrant family.",unclear,"Speaker: CAL
Listener: RUTH
Relationship: unclear
Translation guidance: Use neutral wording unless local dialogue strongly suggests otherwise.",这也是我的魅力之一，露丝。无论如何，害我们迟到的，是我亲爱的未婚妻的美容程序。,gpt-5.4-mini,这也是我的魅力所在，露丝。不管怎么说，让我们迟到的，是我亲爱的未婚妻的美容仪式。,gpt-5.4-mini
titanic,L614461,L614461,u8462,ROSE,,,ROSE: You told me to change.,You told me to change.,,unclear,,你让我改变。,gpt-5.4-mini,你让我改变。,gpt-5.4-mini
titanic,L614461,L614462,u8450,CAL,u8462,ROSE,"CAL: I couldn't let you wear black on sailing day, sweetpea. It's bad luck.","I couldn't let you wear black on sailing day, sweetpea. It's bad luck.",ROSE: You told me to change.,acquaintance,"Speaker: CAL
Listener: ROSE
Relationship: acquaintance
Translation guidance: Use neutral social wording without excessive intimacy.",我不能让你在启航那天穿黑色，甜心。那不吉利。,gpt-5.4-mini,我不能让你在起航那天穿黑色，亲爱的。那不吉利。,gpt-5.4-mini
titanic,L614461,L614463,u8462,ROSE,u8450,CAL,ROSE: I felt like black.,I felt like black.,"ROSE: You told me to change.
CAL: I couldn't let you wear black on sailing day, sweetpea. It's bad luck.",romantic_intent,"Speaker: ROSE
Listener: CAL
Relationship: romantic_intent
Translation guidance: Use neutral wording unless local dialogue strongly suggests otherwise.",我就想穿黑色。,gpt-5.4-mini,我就想穿黑色。,gpt-5.4-mini
titanic,L614471,L614471,u8455,JACK,,,"JACK: Let's see... Fabrizio's got niente. Olaf, you've got squat. Sven, uh oh... two pair... mmm. Sorry Fabrizio.","Let's see... Fabrizio's got niente. Olaf, you've got squat. Sven, uh oh... two pair... mmm. Sorry Fabrizio.",,unclear,,让我看看……法布里齐奥什么都没有。奥拉夫，你也是空手。斯文，哦哦……两对……嗯，抱歉了，法布里齐奥。,gpt-5.4-mini,让我看看……法布里齐奥什么都没有。奥拉夫，你也是一手烂牌。斯文，哦哦……两对……嗯。对不起，法布里齐奥。,gpt-5.4-mini
titanic,L614471,L614472,u8451,FABRIZIO,u8455,JACK,FABRIZIO: What sorry? What you got? You lose my money?? Ma va fa'n culo testa di cazzo --,What sorry? What you got? You lose my money?? Ma va fa'n culo testa di cazzo --,"JACK: Let's see... Fabrizio's got niente. Olaf, you've got squat. Sven, uh oh... two pair... mmm. Sorry Fabrizio.",friend,"Speaker: FABRIZIO
Listener: JACK
Relationship: friend
Translation guidance: Preserve casual, familiar, and friendly wording.",你说什么抱歉？你有什么？你把我的钱输光了？去你妈的，臭傻逼——,gpt-5.4-mini,什么抱歉？你拿了什么？你把我的钱输光了？？去你妈的，狗娘养的混蛋——,gpt-5.4-mini
titanic,L614471,L614473,u8455,JACK,u8451,FABRIZIO,"JACK: Sorry, you're not gonna see your mama again for a long time...","Sorry, you're not gonna see your mama again for a long time...","JACK: Let's see... Fabrizio's got niente. Olaf, you've got squat. Sven, uh oh... two pair... mmm. Sorry Fabrizio.
FABRIZIO: What sorry? What you got? You lose my money?? Ma va fa'n culo testa di cazzo --",ally,"Speaker: JACK
Listener: FABRIZIO
Relationship: ally
Translation guidance: Use neutral wording unless local dialogue strongly suggests otherwise.",抱歉，你很久都见不到你妈妈了……,gpt-5.4-mini,抱歉，你很长一段时间都见不到你妈妈了……,gpt-5.4-mini
titanic,L614474,L614474,u8455,JACK,,,JACK: 'Cause you're goin' to America!! Full house boys!,'Cause you're goin' to America!! Full house boys!,,unclear,,因为你要去美国了！！全压，伙计们！,gpt-5.4-mini,因为你要去美国了！！满员了，伙计们！,gpt-5.4-mini
titanic,L614474,L614475,u8451,FABRIZIO,u8455,JACK,FABRIZIO: Porca Madonna!! YEEAAAAA!!!,Porca Madonna!! YEEAAAAA!!!,JACK: 'Cause you're goin' to America!! Full house boys!,friend,"Speaker: FABRIZIO
Listener: JACK
Relationship: friend
Translation guidance: Preserve casual, familiar, and friendly wording.",该死的圣母玛利亚！！耶——！！！,gpt-5.4-mini,该死的圣母玛利亚！！耶——！！！,gpt-5.4-mini
titanic,L614478,L614478,u8455,JACK,,,"JACK: Goin' home... to the land o' the free and the home of the real hot- dogs! On the TITANIC!! We're ridin' in high style now! We're practically goddamned royalty, ragazzo mio!!","Goin' home... to the land o' the free and the home of the real hot- dogs! On the TITANIC!! We're ridin' in high style now! We're practically goddamned royalty, ragazzo mio!!",,unclear,,回家……回到自由之地，回到真正热狗的家园！在“泰坦尼克号”上！！咱们现在可是坐着头等舱！简直他妈的就是皇室，兄弟！,gpt-5.4-mini,回家……回到自由之地，回到真正热狗的家！在泰坦尼克号上！！我们现在可是风光得很！我们简直他妈就是王族，ragazzo mio！！,gpt-5.4-mini
titanic,L614478,L614479,u8451,FABRIZIO,u8455,JACK,FABRIZIO: You see? Is my destinio!! Like I told you. I go to l'America!! To be a millionaire!! Capito?? I go to America!!,You see? Is my destinio!! Like I told you. I go to l'America!! To be a millionaire!! Capito?? I go to America!!,"JACK: Goin' home... to the land o' the free and the home of the real hot- dogs! On the TITANIC!! We're ridin' in high style now! We're practically goddamned royalty, ragazzo mio!!",friend,"Speaker: FABRIZIO
Listener: JACK
Relationship: friend
Translation guidance: Preserve casual, familiar, and friendly wording.",你看见了吧？这就是我的命运！！就像我跟你说的。我去美国！！去当百万富翁！！明白吗？？我去美国！！,gpt-5.4-mini,看见没？这就是我的命！我早跟你说过了。我去美国！去当百万富翁！明白吗？我要去美国！,gpt-5.4-mini
titanic,L614490,L614490,u8451,FABRIZIO,,,FABRIZIO: You know somebody?,You know somebody?,,unclear,,你认识什么人吗？,gpt-5.4-mini,你认识谁吗？,gpt-5.4-mini
titanic,L614490,L614491,u8455,JACK,u8451,FABRIZIO,JACK: Of course not. That's not the point. Goodbye! Goodbye!! I'll miss you!,Of course not. That's not the point. Goodbye! Goodbye!! I'll miss you!,FABRIZIO: You know somebody?,ally,"Speaker: JACK
Listener: FABRIZIO
Relationship: ally
Translation guidance: Use neutral wording unless local dialogue strongly suggests otherwise.",当然不认识。那不是重点。再见！再见！！我会想你的！,gpt-5.4-mini,当然不是。重点不在这儿。再见！再见！！我会想你的！,gpt-5.4-mini
