movie_name,conversation_id,utterance_id,turn_index,utterance_order,speaker_id,speaker_name,listener_id,listener_name,current_turn,current_text,context_text,num_prev_turns,prev_turn_1,prev_turn_2,prev_turn_3,prev_turn_4,prev_turn_5,prev_turn_6
amadeus,L29991,L30001,10,10,u257,OLD SALIERI,u266,VOGLER,"OLD SALIERI: Do you know who I am? You never heard of me, did you?","Do you know who I am? You never heard of me, did you?","OLD SALIERI: So?
VOGLER: In the sight of God that is a sin.
OLD SALIERI: What do you want?
VOGLER: Do you understand that you have sinned? Gravely.
OLD SALIERI: Leave me alone.
VOGLER: I cannot leave alone a soul in pain.",6,OLD SALIERI: So?,VOGLER: In the sight of God that is a sin.,OLD SALIERI: What do you want?,VOGLER: Do you understand that you have sinned? Gravely.,OLD SALIERI: Leave me alone.,VOGLER: I cannot leave alone a soul in pain.
amadeus,L29991,L30002,11,11,u266,VOGLER,u257,OLD SALIERI,VOGLER: That makes no difference. All men are equal in God's eyes.,That makes no difference. All men are equal in God's eyes.,"VOGLER: In the sight of God that is a sin.
OLD SALIERI: What do you want?
VOGLER: Do you understand that you have sinned? Gravely.
OLD SALIERI: Leave me alone.
VOGLER: I cannot leave alone a soul in pain.
OLD SALIERI: Do you know who I am? You never heard of me, did you?",6,VOGLER: In the sight of God that is a sin.,OLD SALIERI: What do you want?,VOGLER: Do you understand that you have sinned? Gravely.,OLD SALIERI: Leave me alone.,VOGLER: I cannot leave alone a soul in pain.,"OLD SALIERI: Do you know who I am? You never heard of me, did you?"
amadeus,L29991,L30003,12,12,u257,OLD SALIERI,u266,VOGLER,OLD SALIERI: Are they?,Are they?,"OLD SALIERI: What do you want?
VOGLER: Do you understand that you have sinned? Gravely.
OLD SALIERI: Leave me alone.
VOGLER: I cannot leave alone a soul in pain.
OLD SALIERI: Do you know who I am? You never heard of me, did you?
VOGLER: That makes no difference. All men are equal in God's eyes.",6,OLD SALIERI: What do you want?,VOGLER: Do you understand that you have sinned? Gravely.,OLD SALIERI: Leave me alone.,VOGLER: I cannot leave alone a soul in pain.,"OLD SALIERI: Do you know who I am? You never heard of me, did you?",VOGLER: That makes no difference. All men are equal in God's eyes.
amadeus,L29991,L30004,13,13,u266,VOGLER,u257,OLD SALIERI,VOGLER: Offer me your confession. I can offer you God's forgiveness.,Offer me your confession. I can offer you God's forgiveness.,"VOGLER: Do you understand that you have sinned? Gravely.
OLD SALIERI: Leave me alone.
VOGLER: I cannot leave alone a soul in pain.
OLD SALIERI: Do you know who I am? You never heard of me, did you?
VOGLER: That makes no difference. All men are equal in God's eyes.
OLD SALIERI: Are they?",6,VOGLER: Do you understand that you have sinned? Gravely.,OLD SALIERI: Leave me alone.,VOGLER: I cannot leave alone a soul in pain.,"OLD SALIERI: Do you know who I am? You never heard of me, did you?",VOGLER: That makes no difference. All men are equal in God's eyes.,OLD SALIERI: Are they?
amadeus,L29991,L30005,14,14,u257,OLD SALIERI,u266,VOGLER,OLD SALIERI: I do not seek forgiveness.,I do not seek forgiveness.,"OLD SALIERI: Leave me alone.
VOGLER: I cannot leave alone a soul in pain.
OLD SALIERI: Do you know who I am? You never heard of me, did you?
VOGLER: That makes no difference. All men are equal in God's eyes.
OLD SALIERI: Are they?
VOGLER: Offer me your confession. I can offer you God's forgiveness.",6,OLD SALIERI: Leave me alone.,VOGLER: I cannot leave alone a soul in pain.,"OLD SALIERI: Do you know who I am? You never heard of me, did you?",VOGLER: That makes no difference. All men are equal in God's eyes.,OLD SALIERI: Are they?,VOGLER: Offer me your confession. I can offer you God's forgiveness.
amadeus,L29991,L30006,15,15,u266,VOGLER,u257,OLD SALIERI,"VOGLER: My son, there is something dreadful on your soul. Unburden it to me. I'm here only for you. Please talk to me.","My son, there is something dreadful on your soul. Unburden it to me. I'm here only for you. Please talk to me.","VOGLER: I cannot leave alone a soul in pain.
OLD SALIERI: Do you know who I am? You never heard of me, did you?
VOGLER: That makes no difference. All men are equal in God's eyes.
OLD SALIERI: Are they?
VOGLER: Offer me your confession. I can offer you God's forgiveness.
OLD SALIERI: I do not seek forgiveness.",6,VOGLER: I cannot leave alone a soul in pain.,"OLD SALIERI: Do you know who I am? You never heard of me, did you?",VOGLER: That makes no difference. All men are equal in God's eyes.,OLD SALIERI: Are they?,VOGLER: Offer me your confession. I can offer you God's forgiveness.,OLD SALIERI: I do not seek forgiveness.
amadeus,L29991,L30007,16,16,u257,OLD SALIERI,u266,VOGLER,OLD SALIERI: How well are you trained in music?,How well are you trained in music?,"OLD SALIERI: Do you know who I am? You never heard of me, did you?
VOGLER: That makes no difference. All men are equal in God's eyes.
OLD SALIERI: Are they?
VOGLER: Offer me your confession. I can offer you God's forgiveness.
OLD SALIERI: I do not seek forgiveness.
VOGLER: My son, there is something dreadful on your soul. Unburden it to me. I'm here only for you. Please talk to me.",6,"OLD SALIERI: Do you know who I am? You never heard of me, did you?",VOGLER: That makes no difference. All men are equal in God's eyes.,OLD SALIERI: Are they?,VOGLER: Offer me your confession. I can offer you God's forgiveness.,OLD SALIERI: I do not seek forgiveness.,"VOGLER: My son, there is something dreadful on your soul. Unburden it to me. I'm here only for you. Please talk to me."
amadeus,L29991,L30008,17,17,u266,VOGLER,u257,OLD SALIERI,VOGLER: I know a little. I studied it in my youth.,I know a little. I studied it in my youth.,"VOGLER: That makes no difference. All men are equal in God's eyes.
OLD SALIERI: Are they?
VOGLER: Offer me your confession. I can offer you God's forgiveness.
OLD SALIERI: I do not seek forgiveness.
VOGLER: My son, there is something dreadful on your soul. Unburden it to me. I'm here only for you. Please talk to me.
OLD SALIERI: How well are you trained in music?",6,VOGLER: That makes no difference. All men are equal in God's eyes.,OLD SALIERI: Are they?,VOGLER: Offer me your confession. I can offer you God's forgiveness.,OLD SALIERI: I do not seek forgiveness.,"VOGLER: My son, there is something dreadful on your soul. Unburden it to me. I'm here only for you. Please talk to me.",OLD SALIERI: How well are you trained in music?
amadeus,L29991,L30009,18,18,u257,OLD SALIERI,u266,VOGLER,OLD SALIERI: Where?,Where?,"OLD SALIERI: Are they?
VOGLER: Offer me your confession. I can offer you God's forgiveness.
OLD SALIERI: I do not seek forgiveness.
VOGLER: My son, there is something dreadful on your soul. Unburden it to me. I'm here only for you. Please talk to me.
OLD SALIERI: How well are you trained in music?
VOGLER: I know a little. I studied it in my youth.",6,OLD SALIERI: Are they?,VOGLER: Offer me your confession. I can offer you God's forgiveness.,OLD SALIERI: I do not seek forgiveness.,"VOGLER: My son, there is something dreadful on your soul. Unburden it to me. I'm here only for you. Please talk to me.",OLD SALIERI: How well are you trained in music?,VOGLER: I know a little. I studied it in my youth.
amadeus,L29991,L30010,19,19,u266,VOGLER,u257,OLD SALIERI,VOGLER: Here in Vienna.,Here in Vienna.,"VOGLER: Offer me your confession. I can offer you God's forgiveness.
OLD SALIERI: I do not seek forgiveness.
VOGLER: My son, there is something dreadful on your soul. Unburden it to me. I'm here only for you. Please talk to me.
OLD SALIERI: How well are you trained in music?
VOGLER: I know a little. I studied it in my youth.
OLD SALIERI: Where?",6,VOGLER: Offer me your confession. I can offer you God's forgiveness.,OLD SALIERI: I do not seek forgiveness.,"VOGLER: My son, there is something dreadful on your soul. Unburden it to me. I'm here only for you. Please talk to me.",OLD SALIERI: How well are you trained in music?,VOGLER: I know a little. I studied it in my youth.,OLD SALIERI: Where?
amadeus,L29991,L30011,20,20,u257,OLD SALIERI,u266,VOGLER,OLD SALIERI: Then you must know this.,Then you must know this.,"OLD SALIERI: I do not seek forgiveness.
VOGLER: My son, there is something dreadful on your soul. Unburden it to me. I'm here only for you. Please talk to me.
OLD SALIERI: How well are you trained in music?
VOGLER: I know a little. I studied it in my youth.
OLD SALIERI: Where?
VOGLER: Here in Vienna.",6,OLD SALIERI: I do not seek forgiveness.,"VOGLER: My son, there is something dreadful on your soul. Unburden it to me. I'm here only for you. Please talk to me.",OLD SALIERI: How well are you trained in music?,VOGLER: I know a little. I studied it in my youth.,OLD SALIERI: Where?,VOGLER: Here in Vienna.
amadeus,L30012,L30012,0,0,u266,VOGLER,,,VOGLER: I can't say I do. What is it?,I can't say I do. What is it?,,0,,,,,,
amadeus,L30012,L30013,1,1,u257,OLD SALIERI,u266,VOGLER,OLD SALIERI: I'm surprised you don't know. It was a very popular tune in its day. I wrote it. How about this?,I'm surprised you don't know. It was a very popular tune in its day. I wrote it. How about this?,VOGLER: I can't say I do. What is it?,1,,,,,,VOGLER: I can't say I do. What is it?
amadeus,L30015,L30015,0,0,u257,OLD SALIERI,,,OLD SALIERI: Well?,Well?,,0,,,,,,
amadeus,L30015,L30016,1,1,u266,VOGLER,u257,OLD SALIERI,VOGLER: I regret it is not too familiar.,I regret it is not too familiar.,OLD SALIERI: Well?,1,,,,,,OLD SALIERI: Well?
amadeus,L30015,L30017,2,2,u257,OLD SALIERI,u266,VOGLER,OLD SALIERI: Can you recall no melody of mine? I was the most famous composer in Europe when you were still a boy. I wrote forty operas alone. What about this little thing?,Can you recall no melody of mine? I was the most famous composer in Europe when you were still a boy. I wrote forty operas alone. What about this little thing?,"OLD SALIERI: Well?
VOGLER: I regret it is not too familiar.",2,,,,,OLD SALIERI: Well?,VOGLER: I regret it is not too familiar.
amadeus,L30018,L30018,0,0,u266,VOGLER,,,"VOGLER: Oh, I know that! That's charming! I didn't know you wrote that.","Oh, I know that! That's charming! I didn't know you wrote that.",,0,,,,,,
amadeus,L30018,L30019,1,1,u257,OLD SALIERI,u266,VOGLER,OLD SALIERI: I didn't. That was Mozart. Wolfgang Amadeus Mozart. You know who that is?,I didn't. That was Mozart. Wolfgang Amadeus Mozart. You know who that is?,"VOGLER: Oh, I know that! That's charming! I didn't know you wrote that.",1,,,,,,"VOGLER: Oh, I know that! That's charming! I didn't know you wrote that."
amadeus,L30018,L30020,2,2,u266,VOGLER,u257,OLD SALIERI,VOGLER: Of course. The man you accuse yourself of killing.,Of course. The man you accuse yourself of killing.,"VOGLER: Oh, I know that! That's charming! I didn't know you wrote that.
OLD SALIERI: I didn't. That was Mozart. Wolfgang Amadeus Mozart. You know who that is?",2,,,,,"VOGLER: Oh, I know that! That's charming! I didn't know you wrote that.",OLD SALIERI: I didn't. That was Mozart. Wolfgang Amadeus Mozart. You know who that is?
amadeus,L30018,L30021,3,3,u257,OLD SALIERI,u266,VOGLER,OLD SALIERI: Ah - you've heard that?,Ah - you've heard that?,"VOGLER: Oh, I know that! That's charming! I didn't know you wrote that.
OLD SALIERI: I didn't. That was Mozart. Wolfgang Amadeus Mozart. You know who that is?
VOGLER: Of course. The man you accuse yourself of killing.",3,,,,"VOGLER: Oh, I know that! That's charming! I didn't know you wrote that.",OLD SALIERI: I didn't. That was Mozart. Wolfgang Amadeus Mozart. You know who that is?,VOGLER: Of course. The man you accuse yourself of killing.
amadeus,L30018,L30022,4,4,u266,VOGLER,u257,OLD SALIERI,VOGLER: All Vienna has heard that.,All Vienna has heard that.,"VOGLER: Oh, I know that! That's charming! I didn't know you wrote that.
OLD SALIERI: I didn't. That was Mozart. Wolfgang Amadeus Mozart. You know who that is?
VOGLER: Of course. The man you accuse yourself of killing.
OLD SALIERI: Ah - you've heard that?",4,,,"VOGLER: Oh, I know that! That's charming! I didn't know you wrote that.",OLD SALIERI: I didn't. That was Mozart. Wolfgang Amadeus Mozart. You know who that is?,VOGLER: Of course. The man you accuse yourself of killing.,OLD SALIERI: Ah - you've heard that?
amadeus,L30018,L30023,5,5,u257,OLD SALIERI,u266,VOGLER,OLD SALIERI: And do they believe it?,And do they believe it?,"VOGLER: Oh, I know that! That's charming! I didn't know you wrote that.
OLD SALIERI: I didn't. That was Mozart. Wolfgang Amadeus Mozart. You know who that is?
VOGLER: Of course. The man you accuse yourself of killing.
OLD SALIERI: Ah - you've heard that?
VOGLER: All Vienna has heard that.",5,,"VOGLER: Oh, I know that! That's charming! I didn't know you wrote that.",OLD SALIERI: I didn't. That was Mozart. Wolfgang Amadeus Mozart. You know who that is?,VOGLER: Of course. The man you accuse yourself of killing.,OLD SALIERI: Ah - you've heard that?,VOGLER: All Vienna has heard that.
amadeus,L30018,L30024,6,6,u266,VOGLER,u257,OLD SALIERI,VOGLER: Is it true?,Is it true?,"VOGLER: Oh, I know that! That's charming! I didn't know you wrote that.
OLD SALIERI: I didn't. That was Mozart. Wolfgang Amadeus Mozart. You know who that is?
VOGLER: Of course. The man you accuse yourself of killing.
OLD SALIERI: Ah - you've heard that?
VOGLER: All Vienna has heard that.
OLD SALIERI: And do they believe it?",6,"VOGLER: Oh, I know that! That's charming! I didn't know you wrote that.",OLD SALIERI: I didn't. That was Mozart. Wolfgang Amadeus Mozart. You know who that is?,VOGLER: Of course. The man you accuse yourself of killing.,OLD SALIERI: Ah - you've heard that?,VOGLER: All Vienna has heard that.,OLD SALIERI: And do they believe it?
amadeus,L30018,L30025,7,7,u257,OLD SALIERI,u266,VOGLER,OLD SALIERI: Do you believe it?,Do you believe it?,"OLD SALIERI: I didn't. That was Mozart. Wolfgang Amadeus Mozart. You know who that is?
VOGLER: Of course. The man you accuse yourself of killing.
OLD SALIERI: Ah - you've heard that?
VOGLER: All Vienna has heard that.
OLD SALIERI: And do they believe it?
VOGLER: Is it true?",6,OLD SALIERI: I didn't. That was Mozart. Wolfgang Amadeus Mozart. You know who that is?,VOGLER: Of course. The man you accuse yourself of killing.,OLD SALIERI: Ah - you've heard that?,VOGLER: All Vienna has heard that.,OLD SALIERI: And do they believe it?,VOGLER: Is it true?
amadeus,L30018,L30026,8,8,u266,VOGLER,u257,OLD SALIERI,VOGLER: Should I?,Should I?,"VOGLER: Of course. The man you accuse yourself of killing.
OLD SALIERI: Ah - you've heard that?
VOGLER: All Vienna has heard that.
OLD SALIERI: And do they believe it?
VOGLER: Is it true?
OLD SALIERI: Do you believe it?",6,VOGLER: Of course. The man you accuse yourself of killing.,OLD SALIERI: Ah - you've heard that?,VOGLER: All Vienna has heard that.,OLD SALIERI: And do they believe it?,VOGLER: Is it true?,OLD SALIERI: Do you believe it?
amadeus,L30028,L30028,0,0,u266,VOGLER,,,VOGLER: Do you hear me?,Do you hear me?,,0,,,,,,
amadeus,L30028,L30029,1,1,u257,OLD SALIERI,u266,VOGLER,"OLD SALIERI: He was murdered, Father! Mozart! Cruelly murdered.","He was murdered, Father! Mozart! Cruelly murdered.",VOGLER: Do you hear me?,1,,,,,,VOGLER: Do you hear me?
amadeus,L30049,L30049,0,0,u247,CONSTANZE,,,CONSTANZE: Stop it!,Stop it!,,0,,,,,,
amadeus,L30049,L30050,1,1,u255,MOZART,u247,CONSTANZE,"MOZART: I am! I am! I'm stopping it - slowly. You see! Look, I've stopped. Now we are going back.","I am! I am! I'm stopping it - slowly. You see! Look, I've stopped. Now we are going back.",CONSTANZE: Stop it!,1,,,,,,CONSTANZE: Stop it!
amadeus,L30051,L30051,0,0,u247,CONSTANZE,,,CONSTANZE: No! No! No!,No! No! No!,,0,,,,,,
amadeus,L30051,L30052,1,1,u255,MOZART,u247,CONSTANZE,MOZART: Yes! Back! Back! Listen - don't you know where you are?,Yes! Back! Back! Listen - don't you know where you are?,CONSTANZE: No! No! No!,1,,,,,,CONSTANZE: No! No! No!
amadeus,L30051,L30053,2,2,u247,CONSTANZE,u255,MOZART,CONSTANZE: Where?,Where?,"CONSTANZE: No! No! No!
MOZART: Yes! Back! Back! Listen - don't you know where you are?",2,,,,,CONSTANZE: No! No! No!,MOZART: Yes! Back! Back! Listen - don't you know where you are?
amadeus,L30051,L30054,3,3,u255,MOZART,u247,CONSTANZE,MOZART: We are in the Residence of the Fartsbishop of Salzburg.,We are in the Residence of the Fartsbishop of Salzburg.,"CONSTANZE: No! No! No!
MOZART: Yes! Back! Back! Listen - don't you know where you are?
CONSTANZE: Where?",3,,,,CONSTANZE: No! No! No!,MOZART: Yes! Back! Back! Listen - don't you know where you are?,CONSTANZE: Where?
amadeus,L30051,L30055,4,4,u247,CONSTANZE,u255,MOZART,CONSTANZE: Fartsbishop!,Fartsbishop!,"CONSTANZE: No! No! No!
MOZART: Yes! Back! Back! Listen - don't you know where you are?
CONSTANZE: Where?
MOZART: We are in the Residence of the Fartsbishop of Salzburg.",4,,,CONSTANZE: No! No! No!,MOZART: Yes! Back! Back! Listen - don't you know where you are?,CONSTANZE: Where?,MOZART: We are in the Residence of the Fartsbishop of Salzburg.
amadeus,L30056,L30056,0,0,u247,CONSTANZE,,,"CONSTANZE: Your Grace, I've got something to tell you. I want to complain about this man.","Your Grace, I've got something to tell you. I want to complain about this man.",,0,,,,,,
amadeus,L30056,L30057,1,1,u255,MOZART,u247,CONSTANZE,"MOZART: Go ahead, tell him. Tell them all. They won't understand you anyway.","Go ahead, tell him. Tell them all. They won't understand you anyway.","CONSTANZE: Your Grace, I've got something to tell you. I want to complain about this man.",1,,,,,,"CONSTANZE: Your Grace, I've got something to tell you. I want to complain about this man."
amadeus,L30056,L30058,2,2,u247,CONSTANZE,u255,MOZART,CONSTANZE: Why not?,Why not?,"CONSTANZE: Your Grace, I've got something to tell you. I want to complain about this man.
MOZART: Go ahead, tell him. Tell them all. They won't understand you anyway.",2,,,,,"CONSTANZE: Your Grace, I've got something to tell you. I want to complain about this man.","MOZART: Go ahead, tell him. Tell them all. They won't understand you anyway."
amadeus,L30056,L30059,3,3,u255,MOZART,u247,CONSTANZE,"MOZART: Because here everything goes backwards. People walk backwards, dance backwards, sing backwards, and talk backwards.","Because here everything goes backwards. People walk backwards, dance backwards, sing backwards, and talk backwards.","CONSTANZE: Your Grace, I've got something to tell you. I want to complain about this man.
MOZART: Go ahead, tell him. Tell them all. They won't understand you anyway.
CONSTANZE: Why not?",3,,,,"CONSTANZE: Your Grace, I've got something to tell you. I want to complain about this man.","MOZART: Go ahead, tell him. Tell them all. They won't understand you anyway.",CONSTANZE: Why not?
amadeus,L30056,L30060,4,4,u247,CONSTANZE,u255,MOZART,CONSTANZE: That's stupid.,That's stupid.,"CONSTANZE: Your Grace, I've got something to tell you. I want to complain about this man.
MOZART: Go ahead, tell him. Tell them all. They won't understand you anyway.
CONSTANZE: Why not?
MOZART: Because here everything goes backwards. People walk backwards, dance backwards, sing backwards, and talk backwards.",4,,,"CONSTANZE: Your Grace, I've got something to tell you. I want to complain about this man.","MOZART: Go ahead, tell him. Tell them all. They won't understand you anyway.",CONSTANZE: Why not?,"MOZART: Because here everything goes backwards. People walk backwards, dance backwards, sing backwards, and talk backwards."
amadeus,L30056,L30061,5,5,u255,MOZART,u247,CONSTANZE,MOZART: Why? People fart backwards.,Why? People fart backwards.,"CONSTANZE: Your Grace, I've got something to tell you. I want to complain about this man.
MOZART: Go ahead, tell him. Tell them all. They won't understand you anyway.
CONSTANZE: Why not?
MOZART: Because here everything goes backwards. People walk backwards, dance backwards, sing backwards, and talk backwards.
CONSTANZE: That's stupid.",5,,"CONSTANZE: Your Grace, I've got something to tell you. I want to complain about this man.","MOZART: Go ahead, tell him. Tell them all. They won't understand you anyway.",CONSTANZE: Why not?,"MOZART: Because here everything goes backwards. People walk backwards, dance backwards, sing backwards, and talk backwards.",CONSTANZE: That's stupid.
amadeus,L30056,L30062,6,6,u247,CONSTANZE,u255,MOZART,CONSTANZE: Do you think that's funny?,Do you think that's funny?,"CONSTANZE: Your Grace, I've got something to tell you. I want to complain about this man.
MOZART: Go ahead, tell him. Tell them all. They won't understand you anyway.
CONSTANZE: Why not?
MOZART: Because here everything goes backwards. People walk backwards, dance backwards, sing backwards, and talk backwards.
CONSTANZE: That's stupid.
MOZART: Why? People fart backwards.",6,"CONSTANZE: Your Grace, I've got something to tell you. I want to complain about this man.","MOZART: Go ahead, tell him. Tell them all. They won't understand you anyway.",CONSTANZE: Why not?,"MOZART: Because here everything goes backwards. People walk backwards, dance backwards, sing backwards, and talk backwards.",CONSTANZE: That's stupid.,MOZART: Why? People fart backwards.
amadeus,L30056,L30063,7,7,u255,MOZART,u247,CONSTANZE,"MOZART: Yes, I think it's brilliant. You've been doing it for years.","Yes, I think it's brilliant. You've been doing it for years.","MOZART: Go ahead, tell him. Tell them all. They won't understand you anyway.
CONSTANZE: Why not?
MOZART: Because here everything goes backwards. People walk backwards, dance backwards, sing backwards, and talk backwards.
CONSTANZE: That's stupid.
MOZART: Why? People fart backwards.
CONSTANZE: Do you think that's funny?",6,"MOZART: Go ahead, tell him. Tell them all. They won't understand you anyway.",CONSTANZE: Why not?,"MOZART: Because here everything goes backwards. People walk backwards, dance backwards, sing backwards, and talk backwards.",CONSTANZE: That's stupid.,MOZART: Why? People fart backwards.,CONSTANZE: Do you think that's funny?
amadeus,L30064,L30064,0,0,u247,CONSTANZE,,,"CONSTANZE: Oh, ha, ha, ha.","Oh, ha, ha, ha.",,0,,,,,,
amadeus,L30064,L30065,1,1,u255,MOZART,u247,CONSTANZE,MOZART: Sra-I'm-sick! Sra-I'm sick!,Sra-I'm-sick! Sra-I'm sick!,"CONSTANZE: Oh, ha, ha, ha.",1,,,,,,"CONSTANZE: Oh, ha, ha, ha."
amadeus,L30064,L30066,2,2,u247,CONSTANZE,u255,MOZART,"CONSTANZE: Yes, you are. You're very sick.","Yes, you are. You're very sick.","CONSTANZE: Oh, ha, ha, ha.
MOZART: Sra-I'm-sick! Sra-I'm sick!",2,,,,,"CONSTANZE: Oh, ha, ha, ha.",MOZART: Sra-I'm-sick! Sra-I'm sick!
amadeus,L30064,L30067,3,3,u255,MOZART,u247,CONSTANZE,"MOZART: No, no. Say it backwards, shit-wit. Sra-I'm-sick Say it backwards!","No, no. Say it backwards, shit-wit. Sra-I'm-sick Say it backwards!","CONSTANZE: Oh, ha, ha, ha.
MOZART: Sra-I'm-sick! Sra-I'm sick!
CONSTANZE: Yes, you are. You're very sick.",3,,,,"CONSTANZE: Oh, ha, ha, ha.",MOZART: Sra-I'm-sick! Sra-I'm sick!,"CONSTANZE: Yes, you are. You're very sick."
amadeus,L30064,L30068,4,4,u247,CONSTANZE,u255,MOZART,CONSTANZE: Sra-I'm-sick. Sick - kiss I'm - my Kiss my! Sra-I'm-sick - Kiss my arse!,Sra-I'm-sick. Sick - kiss I'm - my Kiss my! Sra-I'm-sick - Kiss my arse!,"CONSTANZE: Oh, ha, ha, ha.
MOZART: Sra-I'm-sick! Sra-I'm sick!
CONSTANZE: Yes, you are. You're very sick.
MOZART: No, no. Say it backwards, shit-wit. Sra-I'm-sick Say it backwards!",4,,,"CONSTANZE: Oh, ha, ha, ha.",MOZART: Sra-I'm-sick! Sra-I'm sick!,"CONSTANZE: Yes, you are. You're very sick.","MOZART: No, no. Say it backwards, shit-wit. Sra-I'm-sick Say it backwards!"
