example_id,movie_name,conversation_id,utterance_id,speaker_name,listener_name,context_6_turns,current_text,final_power_dynamic,final_respect_level,judge1_power_dynamic,judge2_power_dynamic,judge1_respect_level,judge2_respect_level
amadeus__conv_L30015__utt_L30017,amadeus,L30015,L30017,OLD SALIERI,VOGLER,"1. OLD SALIERI: Well?
2. VOGLER to OLD SALIERI: I regret it is not too familiar.",Can you recall no melody of mine? I was the most famous composer in Europe when you were still a boy. I wrote forty operas alone. What about this little thing?,,,speaker_higher_power,speaker_higher_power,low_respect,neutral_respect
amadeus__conv_L30018__utt_L30018,amadeus,L30018,L30018,VOGLER,,,"Oh, I know that! That's charming!  I didn't know you wrote that.",,,unclear,unclear,high_respect,high_respect
amadeus__conv_L30018__utt_L30019,amadeus,L30018,L30019,OLD SALIERI,VOGLER,"1. VOGLER: Oh, I know that! That's charming!  I didn't know you wrote that.",I didn't. That was Mozart. Wolfgang Amadeus Mozart. You know who that is?,roughly_equal_power,neutral_respect,roughly_equal_power,roughly_equal_power,neutral_respect,neutral_respect
amadeus__conv_L30018__utt_L30020,amadeus,L30018,L30020,VOGLER,OLD SALIERI,"1. VOGLER: Oh, I know that! That's charming!  I didn't know you wrote that.
2. OLD SALIERI to VOGLER: I didn't. That was Mozart. Wolfgang Amadeus Mozart. You know who that is?",Of course. The man you accuse yourself of killing.,,,roughly_equal_power,speaker_higher_power,low_respect,neutral_respect
amadeus__conv_L30018__utt_L30021,amadeus,L30018,L30021,OLD SALIERI,VOGLER,"1. VOGLER: Oh, I know that! That's charming!  I didn't know you wrote that.
2. OLD SALIERI to VOGLER: I didn't. That was Mozart. Wolfgang Amadeus Mozart. You know who that is?
3. VOGLER to OLD SALIERI: Of course. The man you accuse yourself of killing.",Ah - you've heard that?,roughly_equal_power,neutral_respect,roughly_equal_power,roughly_equal_power,neutral_respect,neutral_respect
amadeus__conv_L30018__utt_L30022,amadeus,L30018,L30022,VOGLER,OLD SALIERI,"1. VOGLER: Oh, I know that! That's charming!  I didn't know you wrote that.
2. OLD SALIERI to VOGLER: I didn't. That was Mozart. Wolfgang Amadeus Mozart. You know who that is?
3. VOGLER to OLD SALIERI: Of course. The man you accuse yourself of killing.
4. OLD SALIERI to VOGLER: Ah - you've heard that?",All Vienna has heard that.,,,roughly_equal_power,speaker_higher_power,low_respect,neutral_respect
amadeus__conv_L30018__utt_L30023,amadeus,L30018,L30023,OLD SALIERI,VOGLER,"1. VOGLER: Oh, I know that! That's charming!  I didn't know you wrote that.
2. OLD SALIERI to VOGLER: I didn't. That was Mozart. Wolfgang Amadeus Mozart. You know who that is?
3. VOGLER to OLD SALIERI: Of course. The man you accuse yourself of killing.
4. OLD SALIERI to VOGLER: Ah - you've heard that?
5. VOGLER to OLD SALIERI: All Vienna has heard that.",And do they believe it?,roughly_equal_power,neutral_respect,roughly_equal_power,roughly_equal_power,neutral_respect,neutral_respect
amadeus__conv_L30018__utt_L30024,amadeus,L30018,L30024,VOGLER,OLD SALIERI,"1. VOGLER: Oh, I know that! That's charming!  I didn't know you wrote that.
2. OLD SALIERI to VOGLER: I didn't. That was Mozart. Wolfgang Amadeus Mozart. You know who that is?
3. VOGLER to OLD SALIERI: Of course. The man you accuse yourself of killing.
4. OLD SALIERI to VOGLER: Ah - you've heard that?
5. VOGLER to OLD SALIERI: All Vienna has heard that.
6. OLD SALIERI to VOGLER: And do they believe it?",Is it true?,,,roughly_equal_power,speaker_higher_power,neutral_respect,neutral_respect
amadeus__conv_L30018__utt_L30025,amadeus,L30018,L30025,OLD SALIERI,VOGLER,"1. OLD SALIERI to VOGLER: I didn't. That was Mozart. Wolfgang Amadeus Mozart. You know who that is?
2. VOGLER to OLD SALIERI: Of course. The man you accuse yourself of killing.
3. OLD SALIERI to VOGLER: Ah - you've heard that?
4. VOGLER to OLD SALIERI: All Vienna has heard that.
5. OLD SALIERI to VOGLER: And do they believe it?
6. VOGLER to OLD SALIERI: Is it true?",Do you believe it?,roughly_equal_power,neutral_respect,roughly_equal_power,roughly_equal_power,neutral_respect,neutral_respect
amadeus__conv_L30018__utt_L30026,amadeus,L30018,L30026,VOGLER,OLD SALIERI,"1. VOGLER to OLD SALIERI: Of course. The man you accuse yourself of killing.
2. OLD SALIERI to VOGLER: Ah - you've heard that?
3. VOGLER to OLD SALIERI: All Vienna has heard that.
4. OLD SALIERI to VOGLER: And do they believe it?
5. VOGLER to OLD SALIERI: Is it true?
6. OLD SALIERI to VOGLER: Do you believe it?",Should I?,roughly_equal_power,neutral_respect,roughly_equal_power,roughly_equal_power,neutral_respect,neutral_respect
amadeus__conv_L30028__utt_L30028,amadeus,L30028,L30028,VOGLER,,,Do you hear me?,,,unclear,unclear,neutral_respect,neutral_respect
amadeus__conv_L30028__utt_L30029,amadeus,L30028,L30029,OLD SALIERI,VOGLER,1. VOGLER: Do you hear me?,"He was murdered, Father! Mozart! Cruelly murdered.",,,roughly_equal_power,listener_higher_power,neutral_respect,high_respect
amadeus__conv_L30049__utt_L30049,amadeus,L30049,L30049,CONSTANZE,,,Stop it!,,,unclear,unclear,low_respect,unclear
amadeus__conv_L30049__utt_L30050,amadeus,L30049,L30050,MOZART,CONSTANZE,1. CONSTANZE: Stop it!,"I am! I am! I'm stopping it - slowly. You see! Look, I've stopped. Now we are going back.",roughly_equal_power,neutral_respect,roughly_equal_power,roughly_equal_power,neutral_respect,neutral_respect
amadeus__conv_L30051__utt_L30051,amadeus,L30051,L30051,CONSTANZE,,,No! No! No!,,,unclear,unclear,low_respect,unclear
amadeus__conv_L30051__utt_L30052,amadeus,L30051,L30052,MOZART,CONSTANZE,1. CONSTANZE: No! No! No!,Yes! Back! Back! Listen - don't you know where you are?,speaker_higher_power,low_respect,speaker_higher_power,speaker_higher_power,low_respect,low_respect
amadeus__conv_L30051__utt_L30053,amadeus,L30051,L30053,CONSTANZE,MOZART,"1. CONSTANZE: No! No! No!
2. MOZART to CONSTANZE: Yes! Back! Back! Listen - don't you know where you are?",Where?,roughly_equal_power,neutral_respect,roughly_equal_power,roughly_equal_power,neutral_respect,neutral_respect
amadeus__conv_L30051__utt_L30054,amadeus,L30051,L30054,MOZART,CONSTANZE,"1. CONSTANZE: No! No! No!
2. MOZART to CONSTANZE: Yes! Back! Back! Listen - don't you know where you are?
3. CONSTANZE to MOZART: Where?",We are in the Residence of the Fartsbishop of Salzburg.,,,roughly_equal_power,roughly_equal_power,low_respect,neutral_respect
amadeus__conv_L30051__utt_L30055,amadeus,L30051,L30055,CONSTANZE,MOZART,"1. CONSTANZE: No! No! No!
2. MOZART to CONSTANZE: Yes! Back! Back! Listen - don't you know where you are?
3. CONSTANZE to MOZART: Where?
4. MOZART to CONSTANZE: We are in the Residence of the Fartsbishop of Salzburg.",Fartsbishop!,,,roughly_equal_power,roughly_equal_power,low_respect,neutral_respect
amadeus__conv_L30056__utt_L30056,amadeus,L30056,L30056,CONSTANZE,,,"Your Grace, I've got something to tell you. I want to complain about this man.",listener_higher_power,high_respect,listener_higher_power,listener_higher_power,high_respect,high_respect
amadeus__conv_L30056__utt_L30057,amadeus,L30056,L30057,MOZART,CONSTANZE,"1. CONSTANZE: Your Grace, I've got something to tell you. I want to complain about this man.","Go ahead, tell him. Tell them all. They won't understand you anyway.",,,speaker_higher_power,roughly_equal_power,low_respect,low_respect
amadeus__conv_L30056__utt_L30058,amadeus,L30056,L30058,CONSTANZE,MOZART,"1. CONSTANZE: Your Grace, I've got something to tell you. I want to complain about this man.
2. MOZART to CONSTANZE: Go ahead, tell him. Tell them all. They won't understand you anyway.",Why not?,roughly_equal_power,neutral_respect,roughly_equal_power,roughly_equal_power,neutral_respect,neutral_respect
amadeus__conv_L30056__utt_L30059,amadeus,L30056,L30059,MOZART,CONSTANZE,"1. CONSTANZE: Your Grace, I've got something to tell you. I want to complain about this man.
2. MOZART to CONSTANZE: Go ahead, tell him. Tell them all. They won't understand you anyway.
3. CONSTANZE to MOZART: Why not?","Because here everything goes backwards. People walk backwards, dance backwards, sing backwards, and talk backwards.",,,roughly_equal_power,roughly_equal_power,neutral_respect,low_respect
amadeus__conv_L30056__utt_L30060,amadeus,L30056,L30060,CONSTANZE,MOZART,"1. CONSTANZE: Your Grace, I've got something to tell you. I want to complain about this man.
2. MOZART to CONSTANZE: Go ahead, tell him. Tell them all. They won't understand you anyway.
3. CONSTANZE to MOZART: Why not?
4. MOZART to CONSTANZE: Because here everything goes backwards. People walk backwards, dance backwards, sing backwards, and talk backwards.",That's stupid.,roughly_equal_power,low_respect,roughly_equal_power,roughly_equal_power,low_respect,low_respect
amadeus__conv_L30056__utt_L30061,amadeus,L30056,L30061,MOZART,CONSTANZE,"1. CONSTANZE: Your Grace, I've got something to tell you. I want to complain about this man.
2. MOZART to CONSTANZE: Go ahead, tell him. Tell them all. They won't understand you anyway.
3. CONSTANZE to MOZART: Why not?
4. MOZART to CONSTANZE: Because here everything goes backwards. People walk backwards, dance backwards, sing backwards, and talk backwards.
5. CONSTANZE to MOZART: That's stupid.",Why? People fart backwards.,roughly_equal_power,low_respect,roughly_equal_power,roughly_equal_power,low_respect,low_respect
amadeus__conv_L30056__utt_L30062,amadeus,L30056,L30062,CONSTANZE,MOZART,"1. CONSTANZE: Your Grace, I've got something to tell you. I want to complain about this man.
2. MOZART to CONSTANZE: Go ahead, tell him. Tell them all. They won't understand you anyway.
3. CONSTANZE to MOZART: Why not?
4. MOZART to CONSTANZE: Because here everything goes backwards. People walk backwards, dance backwards, sing backwards, and talk backwards.
5. CONSTANZE to MOZART: That's stupid.
6. MOZART to CONSTANZE: Why? People fart backwards.",Do you think that's funny?,,,roughly_equal_power,roughly_equal_power,neutral_respect,low_respect
amadeus__conv_L30056__utt_L30063,amadeus,L30056,L30063,MOZART,CONSTANZE,"1. MOZART to CONSTANZE: Go ahead, tell him. Tell them all. They won't understand you anyway.
2. CONSTANZE to MOZART: Why not?
3. MOZART to CONSTANZE: Because here everything goes backwards. People walk backwards, dance backwards, sing backwards, and talk backwards.
4. CONSTANZE to MOZART: That's stupid.
5. MOZART to CONSTANZE: Why? People fart backwards.
6. CONSTANZE to MOZART: Do you think that's funny?","Yes, I think it's brilliant. You've been doing it for years.",roughly_equal_power,low_respect,roughly_equal_power,roughly_equal_power,low_respect,low_respect
amadeus__conv_L30064__utt_L30064,amadeus,L30064,L30064,CONSTANZE,,,"Oh, ha, ha, ha.",,,unclear,unclear,neutral_respect,unclear
amadeus__conv_L30064__utt_L30065,amadeus,L30064,L30065,MOZART,CONSTANZE,"1. CONSTANZE: Oh, ha, ha, ha.",Sra-I'm-sick! Sra-I'm sick!,,,roughly_equal_power,roughly_equal_power,low_respect,neutral_respect
amadeus__conv_L30064__utt_L30066,amadeus,L30064,L30066,CONSTANZE,MOZART,"1. CONSTANZE: Oh, ha, ha, ha.
2. MOZART to CONSTANZE: Sra-I'm-sick! Sra-I'm sick!","Yes, you are. You're very sick.",roughly_equal_power,neutral_respect,roughly_equal_power,roughly_equal_power,neutral_respect,neutral_respect
amadeus__conv_L30064__utt_L30067,amadeus,L30064,L30067,MOZART,CONSTANZE,"1. CONSTANZE: Oh, ha, ha, ha.
2. MOZART to CONSTANZE: Sra-I'm-sick! Sra-I'm sick!
3. CONSTANZE to MOZART: Yes, you are. You're very sick.","No, no. Say it backwards, shit-wit. Sra-I'm-sick Say it backwards!",roughly_equal_power,low_respect,roughly_equal_power,roughly_equal_power,low_respect,low_respect
amadeus__conv_L30064__utt_L30068,amadeus,L30064,L30068,CONSTANZE,MOZART,"1. CONSTANZE: Oh, ha, ha, ha.
2. MOZART to CONSTANZE: Sra-I'm-sick! Sra-I'm sick!
3. CONSTANZE to MOZART: Yes, you are. You're very sick.
4. MOZART to CONSTANZE: No, no. Say it backwards, shit-wit. Sra-I'm-sick Say it backwards!",Sra-I'm-sick. Sick - kiss I'm - my Kiss my! Sra-I'm-sick - Kiss my arse!,roughly_equal_power,low_respect,roughly_equal_power,roughly_equal_power,low_respect,low_respect
amadeus__conv_L30064__utt_L30069,amadeus,L30064,L30069,MOZART,CONSTANZE,"1. CONSTANZE: Oh, ha, ha, ha.
2. MOZART to CONSTANZE: Sra-I'm-sick! Sra-I'm sick!
3. CONSTANZE to MOZART: Yes, you are. You're very sick.
4. MOZART to CONSTANZE: No, no. Say it backwards, shit-wit. Sra-I'm-sick Say it backwards!
5. CONSTANZE to MOZART: Sra-I'm-sick. Sick - kiss I'm - my Kiss my! Sra-I'm-sick - Kiss my arse!",Em iram! Em iram!,,,roughly_equal_power,roughly_equal_power,low_respect,neutral_respect
amadeus__conv_L30064__utt_L30070,amadeus,L30064,L30070,CONSTANZE,MOZART,"1. CONSTANZE: Oh, ha, ha, ha.
2. MOZART to CONSTANZE: Sra-I'm-sick! Sra-I'm sick!
3. CONSTANZE to MOZART: Yes, you are. You're very sick.
4. MOZART to CONSTANZE: No, no. Say it backwards, shit-wit. Sra-I'm-sick Say it backwards!
5. CONSTANZE to MOZART: Sra-I'm-sick. Sick - kiss I'm - my Kiss my! Sra-I'm-sick - Kiss my arse!
6. MOZART to CONSTANZE: Em iram! Em iram!","No, I'm not playing this game.",,,roughly_equal_power,roughly_equal_power,low_respect,neutral_respect
amadeus__conv_L30064__utt_L30071,amadeus,L30064,L30071,MOZART,CONSTANZE,"1. MOZART to CONSTANZE: Sra-I'm-sick! Sra-I'm sick!
2. CONSTANZE to MOZART: Yes, you are. You're very sick.
3. MOZART to CONSTANZE: No, no. Say it backwards, shit-wit. Sra-I'm-sick Say it backwards!
4. CONSTANZE to MOZART: Sra-I'm-sick. Sick - kiss I'm - my Kiss my! Sra-I'm-sick - Kiss my arse!
5. MOZART to CONSTANZE: Em iram! Em iram!
6. CONSTANZE to MOZART: No, I'm not playing this game.","No, this is serious. Say it backwards.",,,roughly_equal_power,roughly_equal_power,neutral_respect,low_respect
amadeus__conv_L30064__utt_L30072,amadeus,L30064,L30072,CONSTANZE,MOZART,"1. CONSTANZE to MOZART: Yes, you are. You're very sick.
2. MOZART to CONSTANZE: No, no. Say it backwards, shit-wit. Sra-I'm-sick Say it backwards!
3. CONSTANZE to MOZART: Sra-I'm-sick. Sick - kiss I'm - my Kiss my! Sra-I'm-sick - Kiss my arse!
4. MOZART to CONSTANZE: Em iram! Em iram!
5. CONSTANZE to MOZART: No, I'm not playing this game.
6. MOZART to CONSTANZE: No, this is serious. Say it backwards.",No!,,,roughly_equal_power,roughly_equal_power,low_respect,neutral_respect
amadeus__conv_L30064__utt_L30073,amadeus,L30064,L30073,MOZART,CONSTANZE,"1. MOZART to CONSTANZE: No, no. Say it backwards, shit-wit. Sra-I'm-sick Say it backwards!
2. CONSTANZE to MOZART: Sra-I'm-sick. Sick - kiss I'm - my Kiss my! Sra-I'm-sick - Kiss my arse!
3. MOZART to CONSTANZE: Em iram! Em iram!
4. CONSTANZE to MOZART: No, I'm not playing this game.
5. MOZART to CONSTANZE: No, this is serious. Say it backwards.
6. CONSTANZE to MOZART: No!",Just say it - you'll see. It's very serious. Em iram!  Em iram!,roughly_equal_power,neutral_respect,roughly_equal_power,roughly_equal_power,neutral_respect,neutral_respect
amadeus__conv_L30064__utt_L30074,amadeus,L30064,L30074,CONSTANZE,MOZART,"1. CONSTANZE to MOZART: Sra-I'm-sick. Sick - kiss I'm - my Kiss my! Sra-I'm-sick - Kiss my arse!
2. MOZART to CONSTANZE: Em iram! Em iram!
3. CONSTANZE to MOZART: No, I'm not playing this game.
4. MOZART to CONSTANZE: No, this is serious. Say it backwards.
5. CONSTANZE to MOZART: No!
6. MOZART to CONSTANZE: Just say it - you'll see. It's very serious. Em iram!  Em iram!","Iram - marry Em - marry me! No, no! You're a fiend. I'm not going to marry a fiend. A dirty fiend at that.",roughly_equal_power,low_respect,roughly_equal_power,roughly_equal_power,low_respect,low_respect
