movie_name,movie_idx,conversation_id,utterance_id,timestamp,turn_index,utterance_order,speaker_id,speaker_name,reply_to,listener_id,listener_name,text
an officer and a gentleman,m154,L426577,L426580,,3,3,u2415,ZACK,L426579,u2405,BYRON,"Yeah, I made some money down there, then I talked my way into another college and I did it. I wasn't magna cum laude but I did okay. You should've seen me in my cap and gown."
an officer and a gentleman,m154,L426577,L426581,,4,4,u2405,BYRON,L426580,u2415,ZACK,Why the fuck didn't you invite me? I would've come.
an officer and a gentleman,m154,L426587,L426587,,0,0,u2415,ZACK,,,,"Ay, palequero. Never hochi in the P.I."
an officer and a gentleman,m154,L426587,L426588,,1,1,u2405,BYRON,L426587,u2415,ZACK,"Wha-chu-say, palequero? Short time, long time, only ten dolla."
an officer and a gentleman,m154,L426591,L426591,,0,0,u2405,BYRON,,,,So what're you doing in Seattle?
an officer and a gentleman,m154,L426591,L426592,,1,1,u2415,ZACK,L426591,u2405,BYRON,Get ready pard. This one's gonna blow you away.
an officer and a gentleman,m154,L426591,L426593,,2,2,u2405,BYRON,L426592,u2415,ZACK,"Zackie, nothing you do will ever surprise me, pard, not after some of the shit you've pulled."
an officer and a gentleman,m154,L426591,L426594,,3,3,u2415,ZACK,L426593,u2405,BYRON,I joined the Navy.
an officer and a gentleman,m154,L426595,L426595,,0,0,u2405,BYRON,,,,You... in the Navy?
an officer and a gentleman,m154,L426595,L426596,,1,1,u2415,ZACK,L426595,u2405,BYRON,That's right. I'm on my way over to this officer school in Port Ranier.
an officer and a gentleman,m154,L426595,L426597,,2,2,u2405,BYRON,L426596,u2415,ZACK,Why?
an officer and a gentleman,m154,L426595,L426598,,3,3,u2415,ZACK,L426597,u2405,BYRON,To fly jets. To be the fastest motherfucker in the world. You gotta come and visit me. I'm only a couple hours away.
an officer and a gentleman,m154,L426595,L426599,,4,4,u2405,BYRON,L426598,u2415,ZACK,Who gave you this idea?
an officer and a gentleman,m154,L426595,L426600,,5,5,u2415,ZACK,L426599,u2405,BYRON,Nobody. It just came to me.
an officer and a gentleman,m154,L426603,L426603,,0,0,u2405,BYRON,,,,"Don't be pissed. I'm on your side, Pard. I just don't want you to do something you'll regret. You gotta give six years to the Navy if you wanna fly... that's six years with the most uptight assholes God put on this earth. Officers aren't like you and me, man. It's another breed."
an officer and a gentleman,m154,L426603,L426604,,1,1,u2415,ZACK,L426603,u2405,BYRON,"You afraid you'll have to salute me, Chief?"
an officer and a gentleman,m154,L426603,L426605,,2,2,u2405,BYRON,L426604,u2415,ZACK,"Fuck, no! Why would I care about something as dumb as that?"
an officer and a gentleman,m154,L426603,L426606,,3,3,u2415,ZACK,L426605,u2405,BYRON,"I don't know. That's just how it sounded. Well, I'll see you."
an officer and a gentleman,m154,L426607,L426607,,0,0,u2405,BYRON,,,,"Hey, what did you want? A lot of fatherly bullshit? A big pat on the back?"
an officer and a gentleman,m154,L426607,L426608,,1,1,u2415,ZACK,L426607,u2405,BYRON,"From you, pard? Never. Thanks for the graduation present."
an officer and a gentleman,m154,L426607,L426609,,2,2,u2405,BYRON,L426608,u2415,ZACK,"Hey, Zackie -- don't go away mad."
an officer and a gentleman,m154,L426614,L426614,,0,0,u2408,FOLEY,,,,"Now when I say ""understand"" I want the whole group to say, ""Yes, sir!"" Understand?"
an officer and a gentleman,m154,L426614,L426615,,1,1,u2409,GROUP,L426614,u2408,FOLEY,"Yes, sir!"
an officer and a gentleman,m154,L426614,L426616,,2,2,u2408,FOLEY,L426615,u2409,GROUP,Louder!
an officer and a gentleman,m154,L426614,L426617,,3,3,u2409,GROUP,L426616,u2408,FOLEY,"Yes, sir!!"
an officer and a gentleman,m154,L426614,L426618,,4,4,u2408,FOLEY,L426617,u2409,GROUP,"I don't believe what I'm seeing! Where've you been all your lives, at an orgy? Listening to Mick Jagger and bad mouthing your country, I'll bet."
an officer and a gentleman,m154,L426619,L426619,,0,0,u2408,FOLEY,,,,"Stop eyeballing me, boy! You are not worthy enough to look your superiors in the eye. Use your peripheral vision! Understand?!"
an officer and a gentleman,m154,L426619,L426620,,1,1,u2409,GROUP,L426619,u2408,FOLEY,"Yes, sir!"
an officer and a gentleman,m154,L426621,L426621,,0,0,u2408,FOLEY,,,,"I know why most of you are here. We're not stupid. But before you get to sell what we teach you over at United Airlines, you gotta give the Navy six years of your life, Sweet Pea. Lot of things can happen in six year. Another war could come up in six years. If you're too peaceful a person to dump napalm on an enemy village where there might be women and children, I'm gonna find that out. Understand?"
an officer and a gentleman,m154,L426621,L426622,,1,1,u2409,GROUP,L426621,u2408,FOLEY,"Yes, sir!"
an officer and a gentleman,m154,L426623,L426623,,0,0,u2408,FOLEY,,,,"Hi, son."
an officer and a gentleman,m154,L426623,L426624,,1,1,u2414,SID,L426623,u2408,FOLEY,"How're you doing, Sarge?"
an officer and a gentleman,m154,L426625,L426625,,0,0,u2408,FOLEY,,,,What did you call me?
an officer and a gentleman,m154,L426625,L426626,,1,1,u2414,SID,L426625,u2408,FOLEY,Pardon?
an officer and a gentleman,m154,L426625,L426627,,2,2,u2408,FOLEY,L426626,u2414,SID,"What did you call me, boy?"
an officer and a gentleman,m154,L426625,L426628,,3,3,u2414,SID,L426627,u2408,FOLEY,I called you Sarge.
an officer and a gentleman,m154,L426625,L426629,,4,4,u2408,FOLEY,L426628,u2414,SID,Before that.
an officer and a gentleman,m154,L426625,L426630,,5,5,u2414,SID,L426629,u2408,FOLEY,I didn't call you anything before that.
an officer and a gentleman,m154,L426625,L426631,,6,6,u2408,FOLEY,L426630,u2414,SID,"You said, 'How're you?' I am not a 'ewe,' boy! A ewe is a female sheep, boy! Is that what you think I am, boy?"
an officer and a gentleman,m154,L426625,L426632,,7,7,u2414,SID,L426631,u2408,FOLEY,No.
an officer and a gentleman,m154,L426625,L426633,,8,8,u2408,FOLEY,L426632,u2414,SID,"No, sir!"
an officer and a gentleman,m154,L426625,L426634,,9,9,u2414,SID,L426633,u2408,FOLEY,"No, sir."
an officer and a gentleman,m154,L426625,L426635,,10,10,u2408,FOLEY,L426634,u2414,SID,"Lauder, Sweet Pea!"
an officer and a gentleman,m154,L426625,L426636,,11,11,u2414,SID,L426635,u2408,FOLEY,"No, sir!"
an officer and a gentleman,m154,L426625,L426637,,12,12,u2408,FOLEY,L426636,u2414,SID,"Do you want to fuck me up the ass, boy? Is that why you called me a 'ewe'? Are you a queer?"
an officer and a gentleman,m154,L426625,L426638,,13,13,u2414,SID,L426637,u2408,FOLEY,"No, sir."
an officer and a gentleman,m154,L426625,L426639,,14,14,u2408,FOLEY,L426638,u2414,SID,"Where are you from, boy?"
an officer and a gentleman,m154,L426625,L426640,,15,15,u2414,SID,L426639,u2408,FOLEY,"Oklahoma City, Oklahoma."
an officer and a gentleman,m154,L426625,L426641,,16,16,u2408,FOLEY,L426640,u2414,SID,"Only two things come out of Oklahoma, steers and queers. Which one are you, boy? I don't see any horns so you must be a queer."
an officer and a gentleman,m154,L426625,L426642,,17,17,u2414,SID,L426641,u2408,FOLEY,"No, sir."
an officer and a gentleman,m154,L426625,L426643,,18,18,u2408,FOLEY,L426642,u2414,SID,"Stop whispering, Sweet Pea, you're giving me a hard on!"
an officer and a gentleman,m154,L426644,L426644,,0,0,u2408,FOLEY,,,,"Are you laughing at me, dick-brain?"
an officer and a gentleman,m154,L426644,L426645,,1,1,u2415,ZACK,L426644,u2408,FOLEY,"No, sir!"
an officer and a gentleman,m154,L426647,L426647,,0,0,u2408,FOLEY,,,,"What's your name, boy?"
an officer and a gentleman,m154,L426647,L426648,,1,1,u2415,ZACK,L426647,u2408,FOLEY,"Mayo, Zack Mayo, sir!"
an officer and a gentleman,m154,L426647,L426649,,2,2,u2408,FOLEY,L426648,u2415,ZACK,"How did you slip into this program, Mayo? I didn't know the Navy was so hard up. You got an injury there, Mayo?"
an officer and a gentleman,m154,L426647,L426650,,3,3,u2415,ZACK,L426649,u2408,FOLEY,"Not exactly, sir."
an officer and a gentleman,m154,L426651,L426651,,0,0,u2408,FOLEY,,,,"Where'd you get this, Mayo? This is really wonder work."
an officer and a gentleman,m154,L426651,L426652,,1,1,u2415,ZACK,L426651,u2408,FOLEY,"Subic Bay, sir. In the Philippines."
an officer and a gentleman,m154,L426651,L426653,,2,2,u2408,FOLEY,L426652,u2415,ZACK,"I thought I recognized the work. Be proud of those wings. They're the only ones you're gonna leave here with, Mayo-naise."
an officer and a gentleman,m154,L426664,L426664,,0,0,u2411,LYNETTE,,,,"Come on, guys. It's five o'clock."
an officer and a gentleman,m154,L426664,L426665,,1,1,u2412,PAULA,L426664,u2411,LYNETTE,One more minute.
an officer and a gentleman,m154,L426676,L426676,,0,0,u2413,PERRYMAN,,,,How do you figure that's your bunk?
an officer and a gentleman,m154,L426676,L426677,,1,1,u2415,ZACK,L426676,u2413,PERRYMAN,"He said it's up to us and I got here first, didn't I?"
an officer and a gentleman,m154,L426678,L426678,,0,0,u2414,SID,,,,"Whatever you say, Mayonnaise."
an officer and a gentleman,m154,L426678,L426679,,1,1,u2408,FOLEY,L426678,u2414,SID,"Fall out on the lawn in five minutes, in your Poopie suits!"
an officer and a gentleman,m154,L426685,L426685,,0,0,u2414,SID,,,,That Foley looks like he's been through a war or two.
an officer and a gentleman,m154,L426685,L426686,,1,1,u2415,ZACK,L426685,u2414,SID,I've seen better.
an officer and a gentleman,m154,L426688,L426688,,0,0,u2414,SID,,,,Think there's any truth to what he was saying about those girls? Is that still going on?
an officer and a gentleman,m154,L426688,L426689,,1,1,u2415,ZACK,L426688,u2414,SID,"Sure it is, Sweet Pea, but he should've warned you 'scuzzy' female types about the 'Puget Dudes.' They'll tell you they're wearing a rubber but they've bit a little hole in the end."
an officer and a gentleman,m154,L426690,L426690,,0,0,u2406,CASEY,,,,"You're pretty funny, Mayo."
an officer and a gentleman,m154,L426690,L426691,,1,1,u2415,ZACK,L426690,u2406,CASEY,"Maybe we'll be roommates, Seeger, and you'll find out how funny I really am..."
an officer and a gentleman,m154,L426698,L426698,,0,0,u2411,LYNETTE,,,,Far fucking out! I've been wanting to meet one of the Blue Angels since I can remember.
an officer and a gentleman,m154,L426698,L426699,,1,1,u2412,PAULA,L426698,u2411,LYNETTE,"Lynette, watch your mouth! Somebody might overhear."
an officer and a gentleman,m154,L426698,L426700,,2,2,u2411,LYNETTE,L426699,u2412,PAULA,"Paula, look at the new Poopies."
an officer and a gentleman,m154,L426698,L426701,,3,3,u2412,PAULA,L426700,u2411,LYNETTE,"Yeah, I saw 'em. Poor guys."
an officer and a gentleman,m154,L426698,L426702,,4,4,u2411,LYNETTE,L426701,u2412,PAULA,See you in a month when you get liberty!
an officer and a gentleman,m154,L426698,L426703,,5,5,u2412,PAULA,L426702,u2411,LYNETTE,Don't worry. It grows out about an inch by them.
an officer and a gentleman,m154,L426717,L426717,,0,0,u2415,ZACK,,,,"Hey, baby, you could get sent to war, get your ass shot down."
an officer and a gentleman,m154,L426717,L426718,,1,1,u2406,CASEY,L426717,u2415,ZACK,Don't lose any sleep over it. I wouldn't mind being the first woman to fly a jet fighter in combat.
an officer and a gentleman,m154,L426717,L426719,,2,2,u2415,ZACK,L426718,u2406,CASEY,Great. You can go in my place.
an officer and a gentleman,m154,L426723,L426723,,0,0,u2415,ZACK,,,,Jets.
an officer and a gentleman,m154,L426723,L426724,,1,1,u2414,SID,L426723,u2415,ZACK,"I hate to tell you guys, but only two out of every class make it into jets. Which one of you is going with me?"
an officer and a gentleman,m154,L426733,L426733,,0,0,u2415,ZACK,,,,"Good morning, girls."
an officer and a gentleman,m154,L426733,L426734,,1,1,u2406,CASEY,L426733,u2415,ZACK,"Ever heard of knocking, mayo?"
an officer and a gentleman,m154,L426733,L426735,,2,2,u2415,ZACK,L426734,u2406,CASEY,"Hey, did you hear? Sands and Kantrowitz DORed last night. Survival of the fittest."
an officer and a gentleman,m154,L426733,L426736,,3,3,u2406,CASEY,L426735,u2415,ZACK,"The whole world's a jungle, huh, Mayo? Dog eat dog down to the last one, right?"
an officer and a gentleman,m154,L426733,L426737,,4,4,u2415,ZACK,L426736,u2406,CASEY,"You got it, Sweet Pea. Nice boonies, Seeger."
an officer and a gentleman,m154,L426741,L426741,,0,0,u2415,ZACK,,,,"Two bucks a buckle, Perryman. Look at that shine! Boonies'll cost you five."
an officer and a gentleman,m154,L426741,L426742,,1,1,u2413,PERRYMAN,L426741,u2415,ZACK,Who's got two bucks? It's costing me every penny they pay us just to keep my old Lady and my kids in that motel.
an officer and a gentleman,m154,L426744,L426744,,0,0,u2413,PERRYMAN,,,,"Hey, man, is the piss-ass money you're making off this worth the risk of getting us all kicked out of here on an honor violation?"
an officer and a gentleman,m154,L426744,L426745,,1,1,u2415,ZACK,L426744,u2413,PERRYMAN,I don't notice anyone else complaining.
an officer and a gentleman,m154,L426752,L426752,,0,0,u2415,ZACK,,,,"Hey, you gonna tell anybody about this?"
an officer and a gentleman,m154,L426752,L426753,,1,1,u2414,SID,L426752,u2415,ZACK,Not if you make it worth my while. How about free boonies for the duration?
an officer and a gentleman,m154,L426758,L426758,,0,0,u2415,ZACK,,,,You told us it would grow out an inch.
an officer and a gentleman,m154,L426758,L426759,,1,1,u2414,SID,L426758,u2415,ZACK,"It's grown out more than an inch, sweetheart."
an officer and a gentleman,m154,L426760,L426760,,0,0,u2412,PAULA,,,,"That was you guys, huh?"
an officer and a gentleman,m154,L426760,L426761,,1,1,u2411,LYNETTE,L426760,u2412,PAULA,Come on. Let's go dance.
an officer and a gentleman,m154,L426762,L426762,,0,0,u2411,LYNETTE,,,,Is this you boys first night of liberty since you got here?
an officer and a gentleman,m154,L426762,L426763,,1,1,u2414,SID,L426762,u2411,LYNETTE,"Yes, ma'am. Four long, hard weeks of sacrifice for my country... for my people... for you. But I survived."
an officer and a gentleman,m154,L426764,L426764,,0,0,u2415,ZACK,,,,"Hey, what kind of name is Pokrifki?"
an officer and a gentleman,m154,L426764,L426765,,1,1,u2412,PAULA,L426764,u2415,ZACK,Polish. What kind of name is Mayo?
an officer and a gentleman,m154,L426764,L426766,,2,2,u2415,ZACK,L426765,u2412,PAULA,Italian. My mom was Irish. I got her ears. But the rest is all wop.
an officer and a gentleman,m154,L426764,L426767,,3,3,u2412,PAULA,L426766,u2415,ZACK,"Where are you from, Mayo the Wop?"
an officer and a gentleman,m154,L426764,L426768,,4,4,u2415,ZACK,L426767,u2412,PAULA,"Everywhere and nowhere, Paula the Polack."
an officer and a gentleman,m154,L426764,L426769,,5,5,u2412,PAULA,L426768,u2415,ZACK,Seriously.
an officer and a gentleman,m154,L426764,L426770,,6,6,u2415,ZACK,L426769,u2412,PAULA,My father is a Rear Admiral in the Seventh Fleet.
an officer and a gentleman,m154,L426764,L426771,,7,7,u2412,PAULA,L426770,u2415,ZACK,Really?
an officer and a gentleman,m154,L426764,L426772,,8,8,u2415,ZACK,L426771,u2412,PAULA,"Yeah. We've lived all over the world. Katmandu, Moscow, Nairobi."
an officer and a gentleman,m154,L426764,L426773,,9,9,u2412,PAULA,L426772,u2415,ZACK,"Really? I've never been out of Washington except once when I visited this aunt of mine over to Portland. I mean, over at Portland. Ain't it pathetic the way folks talk around here?"
an officer and a gentleman,m154,L426775,L426775,,0,0,u2412,PAULA,,,,You got a girl?
an officer and a gentleman,m154,L426775,L426776,,1,1,u2415,ZACK,L426775,u2412,PAULA,"No, and I'm not looking for one either."
an officer and a gentleman,m154,L426778,L426778,,0,0,u2415,ZACK,,,,I hear most of the girls who come to these things are looking for a husband.
an officer and a gentleman,m154,L426778,L426779,,1,1,u2412,PAULA,L426778,u2415,ZACK,Not me.
an officer and a gentleman,m154,L426778,L426780,,2,2,u2415,ZACK,L426779,u2412,PAULA,Yeah? Why're you here?
an officer and a gentleman,m154,L426778,L426781,,3,3,u2412,PAULA,L426780,u2415,ZACK,"To meet interesting people, improve myself. You wouldn't believe the losers we got over in Port Angeles."
an officer and a gentleman,m154,L426778,L426782,,4,4,u2415,ZACK,L426781,u2412,PAULA,Do you go to school?
an officer and a gentleman,m154,L426778,L426783,,5,5,u2412,PAULA,L426782,u2415,ZACK,"No. I work for National Paper. It's a good job. I make eight-twenty-three an hour. When I get enough money saved, I plan to go on to college."
an officer and a gentleman,m154,L426784,L426784,,0,0,u2411,LYNETTE,,,,You been through the Dilbert Dunker yet?
an officer and a gentleman,m154,L426784,L426785,,1,1,u2414,SID,L426784,u2411,LYNETTE,"Cake walk. Both my dad and my brother went through it and made it, so I know I can."
an officer and a gentleman,m154,L426784,L426786,,2,2,u2411,LYNETTE,L426785,u2414,SID,Is your brother a flyer?
an officer and a gentleman,m154,L426784,L426787,,3,3,u2414,SID,L426786,u2411,LYNETTE,He was. He died.
an officer and a gentleman,m154,L426784,L426788,,4,4,u2411,LYNETTE,L426787,u2414,SID,Vietnam?
an officer and a gentleman,m154,L426784,L426789,,5,5,u2414,SID,L426788,u2411,LYNETTE,Yeah.
an officer and a gentleman,m154,L426784,L426790,,6,6,u2411,LYNETTE,L426789,u2414,SID,"I had a big brother who died over there, too. He wasn't no flyer though. He was just your basic Marine Corps type. I was only twelve when it happened, so I don't remember much about him."
an officer and a gentleman,m154,L426784,L426791,,7,7,u2414,SID,L426790,u2411,LYNETTE,I sure remember Tommy. Mind if we talked about something else?
an officer and a gentleman,m154,L426784,L426792,,8,8,u2411,LYNETTE,L426791,u2414,SID,We don't have to talk at all.
an officer and a gentleman,m154,L426795,L426795,,0,0,u2412,PAULA,,,,Think you'll make it all the way to getting your wings?
an officer and a gentleman,m154,L426795,L426796,,1,1,u2415,ZACK,L426795,u2412,PAULA,Who knows? Guys a lot smarter than me are dropping out like flies.
an officer and a gentleman,m154,L426795,L426797,,2,2,u2412,PAULA,L426796,u2415,ZACK,"Just think 'I'm gonna do it!' Program yourself. See yourself making it. It'll happen. I know 'cause I just read this article in Cosmo, and it was about that very thing."
an officer and a gentleman,m154,L426795,L426798,,3,3,u2415,ZACK,L426797,u2412,PAULA,"You're a very pretty girl, Paula."
an officer and a gentleman,m154,L426800,L426800,,0,0,u2414,SID,,,,Something tells me you've been here before.
an officer and a gentleman,m154,L426800,L426801,,1,1,u2411,LYNETTE,L426800,u2414,SID,Now what on earth would give you an idea like that?
an officer and a gentleman,m154,L426802,L426802,,0,0,u2414,SID,,,,You're sure it's okay?
an officer and a gentleman,m154,L426802,L426803,,1,1,u2411,LYNETTE,L426802,u2414,SID,Don't worry. I'll respect you afterwards.
an officer and a gentleman,m154,L426806,L426806,,0,0,u2414,SID,,,,Could you believe those girls!
an officer and a gentleman,m154,L426806,L426807,,1,1,u2415,ZACK,L426806,u2414,SID,'Nellie's Nymphos!'
an officer and a gentleman,m154,L426806,L426808,,2,2,u2414,SID,L426807,u2415,ZACK,"Jesus, that Lynette! I rode her hard and put her up wet."
an officer and a gentleman,m154,L426810,L426810,,0,0,u2412,PAULA,,,,"Hurry, Lynette. It's almost midnight."
an officer and a gentleman,m154,L426810,L426811,,1,1,u2411,LYNETTE,L426810,u2412,PAULA,I got my foot on the floor.
an officer and a gentleman,m154,L426812,L426812,,0,0,u2411,LYNETTE,,,,"Well, it you're not gonna ask, then I will. How was it?"
an officer and a gentleman,m154,L426812,L426813,,1,1,u2412,PAULA,L426812,u2411,LYNETTE,Great.
an officer and a gentleman,m154,L426812,L426814,,2,2,u2411,LYNETTE,L426813,u2412,PAULA,"Details, Pokrif. From what I saw he had an incredible body."
an officer and a gentleman,m154,L426812,L426815,,3,3,u2412,PAULA,L426814,u2411,LYNETTE,Yeah... Mmmm...
an officer and a gentleman,m154,L426812,L426816,,4,4,u2411,LYNETTE,L426815,u2412,PAULA,What did he do? Did he do anything that was different?
an officer and a gentleman,m154,L426812,L426817,,5,5,u2412,PAULA,L426816,u2411,LYNETTE,Everything was different.
an officer and a gentleman,m154,L426812,L426818,,6,6,u2411,LYNETTE,L426817,u2412,PAULA,But in what ways?
an officer and a gentleman,m154,L426820,L426820,,0,0,u2412,PAULA,,,,How did it go with you guys?
an officer and a gentleman,m154,L426820,L426821,,1,1,u2411,LYNETTE,L426820,u2412,PAULA,"Big Sid came in about two and a half seconds, then had the nerve to ask, 'Did you make it, too, sweetheart?'"
an officer and a gentleman,m154,L426823,L426823,,0,0,u2412,PAULA,,,,He ask you out for next weekend?
an officer and a gentleman,m154,L426823,L426824,,1,1,u2411,LYNETTE,L426823,u2412,PAULA,"No, but I told him I'd be at the Town Tavern next Saturday night, and he sounded like he might come."
an officer and a gentleman,m154,L426823,L426825,,2,2,u2412,PAULA,L426824,u2411,LYNETTE,"I told Zack about Saturday night, too. The fifth week's supposed to be the roughest. Come Wednesday, he'll be wishing he took my number."
an officer and a gentleman,m154,L426823,L426826,,3,3,u2411,LYNETTE,L426825,u2412,PAULA,You hope.
an officer and a gentleman,m154,L426823,L426827,,4,4,u2412,PAULA,L426826,u2411,LYNETTE,He'll show. I'd bet my paycheck on it.
an officer and a gentleman,m154,L426831,L426831,,0,0,u2412,PAULA,,,,"I know I'm late and I'm sorry, but Mrs. Rufferwell asked us to help with the cleanup and..."
an officer and a gentleman,m154,L426831,L426832,,1,1,u2410,JOE,L426831,u2412,PAULA,"I said, come here!"
an officer and a gentleman,m154,L426833,L426833,,0,0,u2412,PAULA,,,,"Daddy, I don't want to get into anything with you tonight. I'm tired and I..."
an officer and a gentleman,m154,L426833,L426834,,1,1,u2410,JOE,L426833,u2412,PAULA,What are you tired from?
an officer and a gentleman,m154,L426835,L426835,,0,0,u2407,ESTHER,,,,Joe!
an officer and a gentleman,m154,L426835,L426836,,1,1,u2410,JOE,L426835,u2407,ESTHER,Come over here where I can see you.
an officer and a gentleman,m154,L426838,L426838,,0,0,u2412,PAULA,,,,I don't know what it is. It could be anything.
an officer and a gentleman,m154,L426838,L426839,,1,1,u2410,JOE,L426838,u2412,PAULA,"But you knew right off what I was talking about, didn't you, Paula! Did you let that boy --"
an officer and a gentleman,m154,L426840,L426840,,0,0,u2412,PAULA,,,,Don't you dare ask me that question. I'm an adult and you got no right to push your nose into my affairs like that!
an officer and a gentleman,m154,L426840,L426841,,1,1,u2410,JOE,L426840,u2412,PAULA,"Well, as long as you live in this house, young lady, you live by my rules! You should be dating local boys."
an officer and a gentleman,m154,L426840,L426842,,2,2,u2412,PAULA,L426841,u2410,JOE,"Uh-uh! Not a chance! There's nobody in this town doing anything with his life, except what his father did, which is nothing. If I can't have more out of life than that, I'd rather be dead!"
an officer and a gentleman,m154,L426840,L426843,,3,3,u2410,JOE,L426842,u2412,PAULA,Do you honestly think you'll find a boy in that... that officer's school who's serious about marriage?
an officer and a gentleman,m154,L426840,L426844,,4,4,u2412,PAULA,L426843,u2410,JOE,Yes I do!
an officer and a gentleman,m154,L426840,L426845,,5,5,u2410,JOE,L426844,u2412,PAULA,Then you're dumber than I thought! All you'll get from their kind is pregnant!
an officer and a gentleman,m154,L426847,L426847,,0,0,u2410,JOE,,,,"Esther, do you think she's using... ...birth control?"
an officer and a gentleman,m154,L426847,L426848,,1,1,u2407,ESTHER,L426847,u2410,JOE,"Yes, Joe."
an officer and a gentleman,m154,L426847,L426849,,2,2,u2410,JOE,L426848,u2407,ESTHER,When did this happen?
an officer and a gentleman,m154,L426847,L426850,,3,3,u2407,ESTHER,L426849,u2410,JOE,A long time ago.
an officer and a gentleman,m154,L426851,L426851,,0,0,u2415,ZACK,,,,Look at Foley! Can you believe it!
an officer and a gentleman,m154,L426851,L426852,,1,1,u2414,SID,L426851,u2415,ZACK,Shhhh...
an officer and a gentleman,m154,L426870,L426870,,0,0,u2414,SID,,,,"Nice, hospitable folks they get around here. I hope she comes."
an officer and a gentleman,m154,L426870,L426871,,1,1,u2415,ZACK,L426870,u2414,SID,"She'll come, pard. A rich socialite Oakie like you oughta be a big catch around these parts."
an officer and a gentleman,m154,L426870,L426872,,2,2,u2414,SID,L426871,u2415,ZACK,"Get off my case, Mayo. I didn't grow up rich."
an officer and a gentleman,m154,L426873,L426873,,0,0,u2415,ZACK,,,,I think we're making some of the locals jealous.
an officer and a gentleman,m154,L426873,L426874,,1,1,u2412,PAULA,L426873,u2415,ZACK,"Who cares? Mmmm. Now I remember. Mayo the Wop. Gee, I'm glad you're here. I've been looking forward to this all week."
