modeling_row_id,movie_name,conversation_id,utterance_id,context_6_turns,current_text,final_power_dynamic,final_respect_level,model_text,speaker_name,listener_name,judge1_power_dynamic,judge2_power_dynamic,judge1_respect_level,judge2_respect_level
12,amadeus,L30018,L30023,"1. VOGLER: Oh, I know that! That's charming!  I didn't know you wrote that.
2. OLD SALIERI to VOGLER: I didn't. That was Mozart. Wolfgang Amadeus Mozart. You know who that is?
3. VOGLER to OLD SALIERI: Of course. The man you accuse yourself of killing.
4. OLD SALIERI to VOGLER: Ah - you've heard that?
5. VOGLER to OLD SALIERI: All Vienna has heard that.",And do they believe it?,roughly_equal_power,neutral_respect,"Context:
1. VOGLER: Oh, I know that! That's charming!  I didn't know you wrote that.
2. OLD SALIERI to VOGLER: I didn't. That was Mozart. Wolfgang Amadeus Mozart. You know who that is?
3. VOGLER to OLD SALIERI: Of course. The man you accuse yourself of killing.
4. OLD SALIERI to VOGLER: Ah - you've heard that?
5. VOGLER to OLD SALIERI: All Vienna has heard that.

Current turn:
And do they believe it?",OLD SALIERI,VOGLER,roughly_equal_power,roughly_equal_power,neutral_respect,neutral_respect
13,amadeus,L30018,L30025,"1. OLD SALIERI to VOGLER: I didn't. That was Mozart. Wolfgang Amadeus Mozart. You know who that is?
2. VOGLER to OLD SALIERI: Of course. The man you accuse yourself of killing.
3. OLD SALIERI to VOGLER: Ah - you've heard that?
4. VOGLER to OLD SALIERI: All Vienna has heard that.
5. OLD SALIERI to VOGLER: And do they believe it?
6. VOGLER to OLD SALIERI: Is it true?",Do you believe it?,roughly_equal_power,neutral_respect,"Context:
1. OLD SALIERI to VOGLER: I didn't. That was Mozart. Wolfgang Amadeus Mozart. You know who that is?
2. VOGLER to OLD SALIERI: Of course. The man you accuse yourself of killing.
3. OLD SALIERI to VOGLER: Ah - you've heard that?
4. VOGLER to OLD SALIERI: All Vienna has heard that.
5. OLD SALIERI to VOGLER: And do they believe it?
6. VOGLER to OLD SALIERI: Is it true?

Current turn:
Do you believe it?",OLD SALIERI,VOGLER,roughly_equal_power,roughly_equal_power,neutral_respect,neutral_respect
15,amadeus,L30049,L30050,1. CONSTANZE: Stop it!,"I am! I am! I'm stopping it - slowly. You see! Look, I've stopped. Now we are going back.",roughly_equal_power,neutral_respect,"Context:
1. CONSTANZE: Stop it!

Current turn:
I am! I am! I'm stopping it - slowly. You see! Look, I've stopped. Now we are going back.",MOZART,CONSTANZE,roughly_equal_power,roughly_equal_power,neutral_respect,neutral_respect
16,amadeus,L30051,L30052,1. CONSTANZE: No! No! No!,Yes! Back! Back! Listen - don't you know where you are?,speaker_higher_power,low_respect,"Context:
1. CONSTANZE: No! No! No!

Current turn:
Yes! Back! Back! Listen - don't you know where you are?",MOZART,CONSTANZE,speaker_higher_power,speaker_higher_power,low_respect,low_respect
17,amadeus,L30051,L30053,"1. CONSTANZE: No! No! No!
2. MOZART to CONSTANZE: Yes! Back! Back! Listen - don't you know where you are?",Where?,roughly_equal_power,neutral_respect,"Context:
1. CONSTANZE: No! No! No!
2. MOZART to CONSTANZE: Yes! Back! Back! Listen - don't you know where you are?

Current turn:
Where?",CONSTANZE,MOZART,roughly_equal_power,roughly_equal_power,neutral_respect,neutral_respect
18,amadeus,L30056,L30056,,"Your Grace, I've got something to tell you. I want to complain about this man.",listener_higher_power,high_respect,"Current turn:
Your Grace, I've got something to tell you. I want to complain about this man.",CONSTANZE,,listener_higher_power,listener_higher_power,high_respect,high_respect
20,amadeus,L30056,L30060,"1. CONSTANZE: Your Grace, I've got something to tell you. I want to complain about this man.
2. MOZART to CONSTANZE: Go ahead, tell him. Tell them all. They won't understand you anyway.
3. CONSTANZE to MOZART: Why not?
4. MOZART to CONSTANZE: Because here everything goes backwards. People walk backwards, dance backwards, sing backwards, and talk backwards.",That's stupid.,roughly_equal_power,low_respect,"Context:
1. CONSTANZE: Your Grace, I've got something to tell you. I want to complain about this man.
2. MOZART to CONSTANZE: Go ahead, tell him. Tell them all. They won't understand you anyway.
3. CONSTANZE to MOZART: Why not?
4. MOZART to CONSTANZE: Because here everything goes backwards. People walk backwards, dance backwards, sing backwards, and talk backwards.

Current turn:
That's stupid.",CONSTANZE,MOZART,roughly_equal_power,roughly_equal_power,low_respect,low_respect
21,amadeus,L30056,L30061,"1. CONSTANZE: Your Grace, I've got something to tell you. I want to complain about this man.
2. MOZART to CONSTANZE: Go ahead, tell him. Tell them all. They won't understand you anyway.
3. CONSTANZE to MOZART: Why not?
4. MOZART to CONSTANZE: Because here everything goes backwards. People walk backwards, dance backwards, sing backwards, and talk backwards.
5. CONSTANZE to MOZART: That's stupid.",Why? People fart backwards.,roughly_equal_power,low_respect,"Context:
1. CONSTANZE: Your Grace, I've got something to tell you. I want to complain about this man.
2. MOZART to CONSTANZE: Go ahead, tell him. Tell them all. They won't understand you anyway.
3. CONSTANZE to MOZART: Why not?
4. MOZART to CONSTANZE: Because here everything goes backwards. People walk backwards, dance backwards, sing backwards, and talk backwards.
5. CONSTANZE to MOZART: That's stupid.

Current turn:
Why? People fart backwards.",MOZART,CONSTANZE,roughly_equal_power,roughly_equal_power,low_respect,low_respect
22,amadeus,L30056,L30063,"1. MOZART to CONSTANZE: Go ahead, tell him. Tell them all. They won't understand you anyway.
2. CONSTANZE to MOZART: Why not?
3. MOZART to CONSTANZE: Because here everything goes backwards. People walk backwards, dance backwards, sing backwards, and talk backwards.
4. CONSTANZE to MOZART: That's stupid.
5. MOZART to CONSTANZE: Why? People fart backwards.
6. CONSTANZE to MOZART: Do you think that's funny?","Yes, I think it's brilliant. You've been doing it for years.",roughly_equal_power,low_respect,"Context:
1. MOZART to CONSTANZE: Go ahead, tell him. Tell them all. They won't understand you anyway.
2. CONSTANZE to MOZART: Why not?
3. MOZART to CONSTANZE: Because here everything goes backwards. People walk backwards, dance backwards, sing backwards, and talk backwards.
4. CONSTANZE to MOZART: That's stupid.
5. MOZART to CONSTANZE: Why? People fart backwards.
6. CONSTANZE to MOZART: Do you think that's funny?

Current turn:
Yes, I think it's brilliant. You've been doing it for years.",MOZART,CONSTANZE,roughly_equal_power,roughly_equal_power,low_respect,low_respect
24,amadeus,L30064,L30067,"1. CONSTANZE: Oh, ha, ha, ha.
2. MOZART to CONSTANZE: Sra-I'm-sick! Sra-I'm sick!
3. CONSTANZE to MOZART: Yes, you are. You're very sick.","No, no. Say it backwards, shit-wit. Sra-I'm-sick Say it backwards!",roughly_equal_power,low_respect,"Context:
1. CONSTANZE: Oh, ha, ha, ha.
2. MOZART to CONSTANZE: Sra-I'm-sick! Sra-I'm sick!
3. CONSTANZE to MOZART: Yes, you are. You're very sick.

Current turn:
No, no. Say it backwards, shit-wit. Sra-I'm-sick Say it backwards!",MOZART,CONSTANZE,roughly_equal_power,roughly_equal_power,low_respect,low_respect
25,amadeus,L30064,L30068,"1. CONSTANZE: Oh, ha, ha, ha.
2. MOZART to CONSTANZE: Sra-I'm-sick! Sra-I'm sick!
3. CONSTANZE to MOZART: Yes, you are. You're very sick.
4. MOZART to CONSTANZE: No, no. Say it backwards, shit-wit. Sra-I'm-sick Say it backwards!",Sra-I'm-sick. Sick - kiss I'm - my Kiss my! Sra-I'm-sick - Kiss my arse!,roughly_equal_power,low_respect,"Context:
1. CONSTANZE: Oh, ha, ha, ha.
2. MOZART to CONSTANZE: Sra-I'm-sick! Sra-I'm sick!
3. CONSTANZE to MOZART: Yes, you are. You're very sick.
4. MOZART to CONSTANZE: No, no. Say it backwards, shit-wit. Sra-I'm-sick Say it backwards!

Current turn:
Sra-I'm-sick. Sick - kiss I'm - my Kiss my! Sra-I'm-sick - Kiss my arse!",CONSTANZE,MOZART,roughly_equal_power,roughly_equal_power,low_respect,low_respect
28,amadeus,L30064,L30075,"1. MOZART to CONSTANZE: Em iram! Em iram!
2. CONSTANZE to MOZART: No, I'm not playing this game.
3. MOZART to CONSTANZE: No, this is serious. Say it backwards.
4. CONSTANZE to MOZART: No!
5. MOZART to CONSTANZE: Just say it - you'll see. It's very serious. Em iram!  Em iram!
6. CONSTANZE to MOZART: Iram - marry Em - marry me! No, no! You're a fiend. I'm not going to marry a fiend. A dirty fiend at that.",Ui-vol-i-tub!,roughly_equal_power,neutral_respect,"Context:
1. MOZART to CONSTANZE: Em iram! Em iram!
2. CONSTANZE to MOZART: No, I'm not playing this game.
3. MOZART to CONSTANZE: No, this is serious. Say it backwards.
4. CONSTANZE to MOZART: No!
5. MOZART to CONSTANZE: Just say it - you'll see. It's very serious. Em iram!  Em iram!
6. CONSTANZE to MOZART: Iram - marry Em - marry me! No, no! You're a fiend. I'm not going to marry a fiend. A dirty fiend at that.

Current turn:
Ui-vol-i-tub!",MOZART,CONSTANZE,roughly_equal_power,roughly_equal_power,neutral_respect,neutral_respect
29,amadeus,L30077,L30078,1. MOZART: Tish-I'm tee. What's that?,What?,roughly_equal_power,neutral_respect,"Context:
1. MOZART: Tish-I'm tee. What's that?

Current turn:
What?",CONSTANZE,MOZART,roughly_equal_power,roughly_equal_power,neutral_respect,neutral_respect
31,amadeus,L30077,L30080,"1. MOZART: Tish-I'm tee. What's that?
2. CONSTANZE to MOZART: What?
3. MOZART to CONSTANZE: Tish-I'm-tee.",Eat,roughly_equal_power,neutral_respect,"Context:
1. MOZART: Tish-I'm tee. What's that?
2. CONSTANZE to MOZART: What?
3. MOZART to CONSTANZE: Tish-I'm-tee.

Current turn:
Eat",CONSTANZE,MOZART,roughly_equal_power,roughly_equal_power,neutral_respect,neutral_respect
33,amadeus,L30077,L30082,"1. MOZART: Tish-I'm tee. What's that?
2. CONSTANZE to MOZART: What?
3. MOZART to CONSTANZE: Tish-I'm-tee.
4. CONSTANZE to MOZART: Eat
5. MOZART to CONSTANZE: Yes.",Eat my - ah!,roughly_equal_power,low_respect,"Context:
1. MOZART: Tish-I'm tee. What's that?
2. CONSTANZE to MOZART: What?
3. MOZART to CONSTANZE: Tish-I'm-tee.
4. CONSTANZE to MOZART: Eat
5. MOZART to CONSTANZE: Yes.

Current turn:
Eat my - ah!",CONSTANZE,MOZART,roughly_equal_power,roughly_equal_power,low_respect,low_respect
34,amadeus,L30085,L30085,,"Follow me, please. The Archbishop would like a word.",speaker_higher_power,high_respect,"Current turn:
Follow me, please. The Archbishop would like a word.",ARCO,,speaker_higher_power,speaker_higher_power,high_respect,high_respect
37,amadeus,L30095,L30097,"1. MOZART: Why what, sir?
2. COLLOREDO to MOZART: Why do I have to be humiliated in front of my guests by one of my own servants?",Humiliated?,listener_higher_power,neutral_respect,"Context:
1. MOZART: Why what, sir?
2. COLLOREDO to MOZART: Why do I have to be humiliated in front of my guests by one of my own servants?

Current turn:
Humiliated?",MOZART,COLLOREDO,listener_higher_power,listener_higher_power,neutral_respect,neutral_respect
38,amadeus,L30095,L30098,"1. MOZART: Why what, sir?
2. COLLOREDO to MOZART: Why do I have to be humiliated in front of my guests by one of my own servants?
3. MOZART to COLLOREDO: Humiliated?","How much provocation am I to endure from you? The more license I allow you, the more you take.",speaker_higher_power,low_respect,"Context:
1. MOZART: Why what, sir?
2. COLLOREDO to MOZART: Why do I have to be humiliated in front of my guests by one of my own servants?
3. MOZART to COLLOREDO: Humiliated?

Current turn:
How much provocation am I to endure from you? The more license I allow you, the more you take.",COLLOREDO,MOZART,speaker_higher_power,speaker_higher_power,low_respect,low_respect
40,amadeus,L30099,L30101,"1. MOZART: If His Grace is not satisfied with me, he can dismiss me.
2. COLLOREDO to MOZART: I wish you to return immediately to Salzburg. Your father is waiting for you there patiently. I will speak to you further when I come.","No, Your Grace! I mean with all humility, no. I would rather you dismissed me. It's obvious I don't satisfy.",listener_higher_power,high_respect,"Context:
1. MOZART: If His Grace is not satisfied with me, he can dismiss me.
2. COLLOREDO to MOZART: I wish you to return immediately to Salzburg. Your father is waiting for you there patiently. I will speak to you further when I come.

Current turn:
No, Your Grace! I mean with all humility, no. I would rather you dismissed me. It's obvious I don't satisfy.",MOZART,COLLOREDO,listener_higher_power,listener_higher_power,high_respect,high_respect
43,amadeus,L30113,L30115,"1. JOSEPH: Ah-ha. Well then, we should make some effort to acquire him. We could use a good German composer in Vienna, surely?
2. VON STRACK to JOSEPH: I agree, Majesty, but I'm afraid it's not possible. The young man is still in the pay of the Archbishop.","Very small pay, I imagine. I'm sure he could be tempted with the right offer. Say, an opera in German for our National Theatre.",speaker_higher_power,neutral_respect,"Context:
1. JOSEPH: Ah-ha. Well then, we should make some effort to acquire him. We could use a good German composer in Vienna, surely?
2. VON STRACK to JOSEPH: I agree, Majesty, but I'm afraid it's not possible. The young man is still in the pay of the Archbishop.

Current turn:
Very small pay, I imagine. I'm sure he could be tempted with the right offer. Say, an opera in German for our National Theatre.",JOSEPH,VON STRACK,speaker_higher_power,speaker_higher_power,neutral_respect,neutral_respect
44,amadeus,L30118,L30119,"1. JOSEPH: Ah-ha. What do you say, Chamberlain?","In my opinion, it is time we had a piece in our own language, sir. Plain German. For plain people.",listener_higher_power,high_respect,"Context:
1. JOSEPH: Ah-ha. What do you say, Chamberlain?

Current turn:
In my opinion, it is time we had a piece in our own language, sir. Plain German. For plain people.",VON STRACK,JOSEPH,listener_higher_power,listener_higher_power,high_respect,high_respect
45,amadeus,L30123,L30123,,"I think it is an interesting notion to keep Mozart in Vienna, Majesty. It should really infuriate the Archbishop beyond measure - if that is your Majesty's intention.",listener_higher_power,high_respect,"Current turn:
I think it is an interesting notion to keep Mozart in Vienna, Majesty. It should really infuriate the Archbishop beyond measure - if that is your Majesty's intention.",SALIERI,,listener_higher_power,listener_higher_power,high_respect,high_respect
46,amadeus,L30125,L30125,,"Yes, sir.",listener_higher_power,high_respect,"Current turn:
Yes, sir.",VON STRACK,,listener_higher_power,listener_higher_power,high_respect,high_respect
49,amadeus,L30133,L30134,"1. SALIERI: Thank you. Are you well today, Fraulein Lorl?","Yes, thank you, sir.",listener_higher_power,high_respect,"Context:
1. SALIERI: Thank you. Are you well today, Fraulein Lorl?

Current turn:
Yes, thank you, sir.",LORL,SALIERI,listener_higher_power,listener_higher_power,high_respect,high_respect
50,amadeus,L30142,L30143,"1. JOSEPH: Well, what do you have for me today?","Your Majesty, Herr Mozart -",listener_higher_power,high_respect,"Context:
1. JOSEPH: Well, what do you have for me today?

Current turn:
Your Majesty, Herr Mozart -",VON STRACK,JOSEPH,listener_higher_power,listener_higher_power,high_respect,high_respect
51,amadeus,L30142,L30144,"1. JOSEPH: Well, what do you have for me today?
2. VON STRACK to JOSEPH: Your Majesty, Herr Mozart -","Yes, what about him?",speaker_higher_power,neutral_respect,"Context:
1. JOSEPH: Well, what do you have for me today?
2. VON STRACK to JOSEPH: Your Majesty, Herr Mozart -

Current turn:
Yes, what about him?",JOSEPH,VON STRACK,speaker_higher_power,speaker_higher_power,neutral_respect,neutral_respect
53,amadeus,L30152,L30153,"1. JOSEPH: Delightful, Court Composer. Would you permit me to play it as he comes in?","You do me too much honour, Sire.",listener_higher_power,high_respect,"Context:
1. JOSEPH: Delightful, Court Composer. Would you permit me to play it as he comes in?

Current turn:
You do me too much honour, Sire.",SALIERI,JOSEPH,listener_higher_power,listener_higher_power,high_respect,high_respect
54,amadeus,L30152,L30154,"1. JOSEPH: Delightful, Court Composer. Would you permit me to play it as he comes in?
2. SALIERI to JOSEPH: You do me too much honour, Sire.","Let's have some fun.  Bring in Herr Mozart, please. But slowly, slowly. I need a minute to practice.",speaker_higher_power,neutral_respect,"Context:
1. JOSEPH: Delightful, Court Composer. Would you permit me to play it as he comes in?
2. SALIERI to JOSEPH: You do me too much honour, Sire.

Current turn:
Let's have some fun.  Bring in Herr Mozart, please. But slowly, slowly. I need a minute to practice.",JOSEPH,SALIERI,speaker_higher_power,speaker_higher_power,neutral_respect,neutral_respect
57,amadeus,L30158,L30159,"1. ORSINI-ROSENBERG: Bravo, Your Majesty!","Well done, Sire!",listener_higher_power,high_respect,"Context:
1. ORSINI-ROSENBERG: Bravo, Your Majesty!

Current turn:
Well done, Sire!",VON STRACK,ORSINI-ROSENBERG,listener_higher_power,listener_higher_power,high_respect,high_respect
58,amadeus,L30161,L30161,,Your Majesty!,listener_higher_power,high_respect,"Current turn:
Your Majesty!",MOZART,,listener_higher_power,listener_higher_power,high_respect,high_respect
59,amadeus,L30166,L30168,"1. MOZART: Oh, thank you.
2. JOSEPH to MOZART: The Director of our Opera. Count Orsini-Rosenberg.","Oh sir, yes! The honour is mine. Absolutely.",listener_higher_power,high_respect,"Context:
1. MOZART: Oh, thank you.
2. JOSEPH to MOZART: The Director of our Opera. Count Orsini-Rosenberg.

Current turn:
Oh sir, yes! The honour is mine. Absolutely.",MOZART,JOSEPH,listener_higher_power,listener_higher_power,high_respect,high_respect
60,amadeus,L30171,L30171,,"I know your work well, Signore. Do you know I actually composed some variations on a melody of yours?",roughly_equal_power,high_respect,"Current turn:
I know your work well, Signore. Do you know I actually composed some variations on a melody of yours?",MOZART,,roughly_equal_power,roughly_equal_power,high_respect,high_respect
61,amadeus,L30171,L30172,"1. MOZART: I know your work well, Signore. Do you know I actually composed some variations on a melody of yours?",Really?,roughly_equal_power,neutral_respect,"Context:
1. MOZART: I know your work well, Signore. Do you know I actually composed some variations on a melody of yours?

Current turn:
Really?",SALIERI,MOZART,roughly_equal_power,roughly_equal_power,neutral_respect,neutral_respect
64,amadeus,L30180,L30180,,Majesty!,listener_higher_power,high_respect,"Current turn:
Majesty!",MOZART,,listener_higher_power,listener_higher_power,high_respect,high_respect
65,amadeus,L30182,L30182,,"Well, actually, Sire, if you remember, we did finally incline to Italian.",listener_higher_power,high_respect,"Current turn:
Well, actually, Sire, if you remember, we did finally incline to Italian.",ORSINI-ROSENBERG,,listener_higher_power,listener_higher_power,high_respect,high_respect
66,amadeus,L30184,L30184,,"I don't think it was really decided, Director.",roughly_equal_power,high_respect,"Current turn:
I don't think it was really decided, Director.",VON SWIETEN,,roughly_equal_power,roughly_equal_power,high_respect,high_respect
69,amadeus,L30200,L30201,"1. VON SWIETEN: My dear fellow, the language is not finally the point. Do you really think that subject is quite appropriate for a national theatre?","Why not? It's charming. I mean, I don't actually show concubines exposing their! their! It's not indecent!  It's highly moral, Majesty. It's full of proper German virtues. I swear it. Absolutely!",listener_higher_power,high_respect,"Context:
1. VON SWIETEN: My dear fellow, the language is not finally the point. Do you really think that subject is quite appropriate for a national theatre?

Current turn:
Why not? It's charming. I mean, I don't actually show concubines exposing their! their! It's not indecent!  It's highly moral, Majesty. It's full of proper German virtues. I swear it. Absolutely!",MOZART,VON SWIETEN,listener_higher_power,listener_higher_power,high_respect,high_respect
70,amadeus,L30202,L30203,"1. JOSEPH: Well, I'm glad to hear that.","Excuse me, Sire, but what do you think these could be? Being a foreigner, I would love to learn.",listener_higher_power,high_respect,"Context:
1. JOSEPH: Well, I'm glad to hear that.

Current turn:
Excuse me, Sire, but what do you think these could be? Being a foreigner, I would love to learn.",SALIERI,JOSEPH,listener_higher_power,listener_higher_power,high_respect,high_respect
71,amadeus,L30205,L30205,,"Love, Sire!",listener_higher_power,high_respect,"Current turn:
Love, Sire!",MOZART,,listener_higher_power,listener_higher_power,high_respect,high_respect
